Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
56,,2023-02-13,37-234,WAS,@,GSW,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,36,2023-02-14,37-235,WAS,@,POR,W (+25),0,11:14,2,3,.667,1,1,1.000,1,2,.500,0,1,1,0,0,0,0,0,6,4.6,+10
58,,2023-02-16,37-237,WAS,@,MIN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,37,2023-02-24,37-245,WAS,,NYK,L (-6),0,13:17,0,2,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,2,0,-1.0,+9
60,38,2023-02-26,37-247,WAS,@,CHI,L (-20),0,12:28,1,2,.500,0,0,,1,2,.500,1,2,3,2,0,0,1,2,3,2.5,+1
61,39,2023-02-28,37-249,WAS,@,ATL,W (+3),0,13:33,2,4,.500,0,2,.000,1,2,.500,1,4,5,0,0,0,1,0,5,3.5,-1
62,,2023-03-02,37-251,WAS,,TOR,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,,2023-03-04,37-253,WAS,,TOR,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,,2023-03-05,37-254,WAS,,MIL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,40,2023-03-07,37-256,WAS,@,DET,W (+2),0,4:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-5
66,41,2023-03-08,37-257,WAS,,ATL,L (-2),0,4:09,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-3
67,,2023-03-10,37-259,WAS,,ATL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,42,2023-03-12,37-261,WAS,@,PHI,L (-19),0,5:41,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,0
69,43,2023-03-14,37-263,WAS,,DET,W (+20),0,4:48,0,0,,0,0,,2,2,1.000,0,2,2,0,1,1,0,0,2,4.3,+7
70,44,2023-03-17,37-266,WAS,@,CLE,L (-23),0,3:55,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-3
71,45,2023-03-18,37-267,WAS,,SAC,L (-14),0,14:56,3,3,1.000,0,0,,0,0,,1,1,2,3,0,0,1,4,6,5.6,-17
72,,2023-03-21,37-270,WAS,@,ORL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,46,2023-03-22,37-271,WAS,,DEN,L (-14),0,11:26,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,0,0,0,0.0,-9
74,,2023-03-24,37-273,WAS,,SAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,,2023-03-26,37-275,WAS,@,TOR,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,47,2023-03-28,37-277,WAS,,BOS,W (+19),0,11:52,1,2,.500,0,0,,2,2,1.000,1,0,1,1,1,0,2,4,4,1.8,-9
77,48,2023-03-31,37-280,WAS,,ORL,L (-7),0,10:01,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.8,
78,49,2023-04-02,37-282,WAS,@,NYK,L (-9),0,16:33,4,8,.500,4,5,.800,2,2,1.000,0,2,2,1,0,0,2,2,14,8.5,-5
79,,2023-04-04,37-284,WAS,,MIL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,,2023-04-05,37-285,WAS,@,ATL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,2023-04-07,37-287,WAS,,MIA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,,2023-04-09,37-289,WAS,,HOU,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,1,2023-12-15,38-174,NYK,@,PHO,W (+17),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
2,2,2023-12-16,38-175,NYK,@,LAC,L (-22),0,6:26,1,3,.333,0,2,.000,0,0,,1,0,1,0,1,0,0,0,2,2.0,+2
3,3,2023-12-18,38-177,NYK,@,LAL,W (+5),0,5:41,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,2,0,-0.5,-8
4,4,2023-12-20,38-179,NYK,@,BRK,W (+19),0,13:17,1,2,.500,0,0,,0,0,,0,2,2,0,0,2,0,3,2,1.8,+5
5,5,2023-12-23,38-182,NYK,,MIL,L (-19),0,14:40,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,2,2,1.6,-5
6,6,2023-12-25,38-184,NYK,,MIL,W (+7),0,15:17,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,3,0,2,0,3.6,+4
7,7,2023-12-27,38-186,NYK,@,OKC,L (-9),0,9:59,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,4,3.6,-16
8,8,2023-12-29,38-188,NYK,@,ORL,L (-9),0,15:26,1,1,1.000,0,0,,0,0,,0,4,4,0,0,1,0,4,2,2.0,+7
9,9,2023-12-30,38-189,NYK,@,IND,L (-14),0,14:05,1,3,.333,0,0,,0,0,,2,0,2,1,0,0,1,4,2,-0.2,-13
10,10,2024-01-01,38-191,NYK,,MIN,W (+6),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
11,,2024-01-03,38-193,NYK,,CHI,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2024-01-05,38-195,NYK,@,PHI,W (+36),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2024-01-06,38-196,NYK,@,WAS,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
