,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,1,2018-10-20,21-212,SAS,@,POR,L (-13),0,3:28,0,1,0.0,0,0,,2,2,1.0,0,2,2,0,0,1,0,0,2,2.6,5.0
1,4,2,2018-10-24,21-216,SAS,,IND,L (-20),0,5:31,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,2,0.3,5.0
2,7,3,2018-10-31,21-223,SAS,@,PHO,W (+30),0,6:45,1,4,0.25,0,0,,2,2,1.0,0,2,2,0,1,0,0,0,4,3.2,6.0
3,8,4,2018-11-03,21-226,SAS,,NOP,W (+14),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,0.0
4,9,5,2018-11-04,21-227,SAS,,ORL,L (-7),0,3:38,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,6.0
5,11,6,2018-11-10,21-233,SAS,,HOU,W (+7),0,12:17,0,1,0.0,0,0,,0,0,,2,0,2,0,0,1,4,0,0,-2.6,-14.0
6,12,7,2018-11-12,21-235,SAS,@,SAC,L (-5),0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,4.0
7,13,8,2018-11-14,21-237,SAS,@,PHO,L (-20),0,6:42,1,2,0.5,0,0,,1,3,0.333,0,2,2,0,0,0,1,1,3,0.4,0.0
8,16,9,2018-11-19,21-242,SAS,@,NOP,L (-14),0,13:29,4,5,0.8,0,1,0.0,0,0,,1,2,3,3,0,0,1,1,8,8.1,-3.0
9,18,10,2018-11-23,21-246,SAS,@,IND,W (+11),0,1:14,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2.0
10,21,11,2018-11-28,21-251,SAS,@,MIN,L (-39),0,12:00,0,4,0.0,0,0,,2,2,1.0,1,3,4,2,0,0,0,1,2,1.8,-5.0
11,22,12,2018-11-30,21-253,SAS,,HOU,L (-31),0,5:22,3,6,0.5,0,0,,0,0,,2,1,3,2,0,0,1,1,6,4.7,2.0
12,23,13,2018-12-02,21-255,SAS,,POR,W (+13),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0
13,24,14,2018-12-04,21-257,SAS,@,UTA,L (-34),0,12:55,4,8,0.5,0,0,,2,2,1.0,0,1,1,2,2,0,1,1,10,8.3,-2.0
14,26,15,2018-12-07,21-260,SAS,,LAL,W (+13),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0
15,27,16,2018-12-09,21-262,SAS,,UTA,W (+13),0,6:11,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,5.0
16,28,17,2018-12-11,21-264,SAS,,PHO,W (+25),0,4:55,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,4,2.6,1.0
17,29,18,2018-12-13,21-266,SAS,,LAC,W (+38),0,6:58,0,4,0.0,0,0,,3,4,0.75,1,2,3,0,1,0,2,0,3,0.1,8.0
18,35,19,2018-12-26,21-279,SAS,,DEN,W (+8),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5.0
19,50,20,2019-01-26,21-310,SAS,@,NOP,W (+12),0,2:51,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-4.0
20,51,21,2019-01-27,21-311,SAS,,WAS,W (+13),0,3:26,0,2,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,1,1,1,-1.9,-4.0
21,54,22,2019-02-02,21-317,SAS,,NOP,W (+5),0,3:28,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-12.0
22,55,23,2019-02-04,21-319,SAS,@,SAC,L (-15),0,1:13,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,2.0
23,56,24,2019-02-06,21-321,SAS,@,GSW,L (-39),0,13:24,1,3,0.333,0,0,,0,0,,1,4,5,2,0,0,0,1,2,3.2,-4.0
24,57,25,2019-02-07,21-322,SAS,@,POR,L (-9),0,2:17,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,6.0
