,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,24-259,GSW,,HOU,W (+4),0,0:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,3
1,3,2,2010-10-31,24-263,GSW,@,LAL,L (-24),0,3:58,1,1,1.0,0,0,,0,2,0.0,1,1,2,2,0,0,0,1,2,2.9,2
2,9,3,2010-11-11,24-274,GSW,@,CHI,L (-30),0,6:26,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,1,1,2,0.3,-6
3,10,4,2010-11-13,24-276,GSW,@,MIL,L (-7),0,19:16,3,4,0.75,0,0,,0,0,,3,5,8,0,0,2,0,1,6,9.0,10
4,11,5,2010-11-15,24-278,GSW,,DET,W (+4),0,15:33,0,3,0.0,0,0,,0,0,,1,2,3,0,3,0,1,1,0,0.8,16
5,12,6,2010-11-19,24-282,GSW,,NYK,L (-6),0,14:05,1,3,0.333,0,0,,0,0,,1,2,3,2,0,0,1,2,2,1.2,-10
6,13,7,2010-11-21,24-284,GSW,@,LAL,L (-28),0,26:27,3,8,0.375,0,0,,3,5,0.6,6,4,10,1,0,1,0,2,9,9.8,-3
7,14,8,2010-11-22,24-285,GSW,,DEN,L (-17),0,3:13,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,3
8,15,9,2010-11-24,24-287,GSW,@,HOU,L (-10),0,11:36,0,2,0.0,0,0,,0,0,,1,2,3,0,0,1,0,2,0,-0.2,-4
9,16,10,2010-11-26,24-289,GSW,@,MEM,L (-5),0,30:45,6,11,0.545,0,0,,0,0,,2,6,8,2,0,0,1,6,12,7.9,6
10,17,11,2010-11-27,24-290,GSW,@,MIN,W (+10),0,6:02,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,3,0,-0.6,-3
11,18,12,2010-11-30,24-293,GSW,,SAS,L (-20),0,3:34,1,1,1.0,0,0,,1,1,1.0,0,1,1,0,0,0,0,0,3,3.0,0
12,19,13,2010-12-02,24-295,GSW,,PHO,L (-6),0,7:25,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,1,0,0,3,3.3,-2
13,20,14,2010-12-05,24-298,GSW,@,OKC,L (-5),0,10:51,2,5,0.4,0,0,,1,1,1.0,4,2,6,2,0,0,1,3,5,4.9,2
14,22,15,2010-12-08,24-301,GSW,@,SAS,L (-17),0,1:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
15,32,16,2011-03-13,25-031,GSW,,MIN,W (+23),0,2:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
16,36,17,2011-03-20,25-038,GSW,@,DAL,L (-28),0,3:08,0,0,,0,0,,3,4,0.75,1,0,1,0,0,0,1,0,3,2.3,-3
17,38,18,2011-03-23,25-041,GSW,@,HOU,L (-19),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
18,39,19,2011-03-25,25-043,GSW,,TOR,W (+38),0,8:10,1,4,0.25,0,0,,0,2,0.0,0,1,1,1,0,0,0,0,2,-0.2,-7
19,42,20,2011-03-30,25-048,GSW,@,MEM,L (-19),0,2:16,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-3
20,44,21,2011-04-05,25-054,GSW,@,POR,W (+21),0,2:15,1,1,1.0,0,0,,0,0,,2,0,2,0,0,0,1,0,2,2.1,-2
21,47,22,2011-04-11,25-060,GSW,@,DEN,L (-23),0,4:11,0,2,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-1.2,0
22,48,23,2011-04-13,25-062,GSW,,POR,W (+24),0,10:20,2,3,0.667,0,0,,2,2,1.0,0,1,1,0,1,0,2,2,6,3.2,9
23,1,1,2011-12-26,25-319,HOU,@,ORL,L (-9),0,6:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,4,0,-2.3,-8
24,6,2,2012-01-04,25-328,HOU,@,LAC,L (-28),0,14:11,1,5,0.2,0,0,,1,2,0.5,2,0,2,0,0,0,0,2,3,0.1,-13
25,7,3,2012-01-06,25-330,HOU,@,OKC,L (-15),0,8:46,3,4,0.75,0,0,,1,2,0.5,2,3,5,0,0,0,0,0,7,7.3,6
26,14,4,2012-01-17,25-341,HOU,,DET,W (+17),0,2:37,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,0
