Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2015-10-30,22-207,POR,@,PHO,L (-18),0,2:24,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,+1
6,2,2015-11-05,22-213,POR,,MEM,W (+19),0,3:34,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-5
30,3,2015-12-21,22-259,POR,@,ATL,L (-9),0,0:50,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,+2
31,4,2015-12-23,22-261,POR,@,NOP,L (-26),0,6:16,0,3,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,0.2,-2
32,5,2015-12-26,22-264,POR,,CLE,W (+29),0,4:09,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-0.7,-3
35,6,2015-12-31,22-269,POR,@,UTA,L (-13),0,3:02,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,1.3,+5
38,7,2016-01-06,22-275,POR,,LAC,L (-11),0,2:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
75,8,2016-03-28,22-357,POR,,SAC,W (+12),0,4:41,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-0.5,-15
77,9,2016-04-02,22-362,POR,,MIA,W (+17),0,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
78,10,2016-04-03,22-363,POR,@,GSW,L (-25),0,3:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
80,11,2016-04-06,23-000,POR,,OKC,W (+5),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
82,12,2016-04-13,23-007,POR,,DEN,W (+8),0,9:02,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.8,-10
35,1,2017-12-30,24-268,DET,,SAS,W (+14),0,1:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-1.7,-4
37,2,2018-01-05,24-274,DET,@,PHI,L (-36),0,6:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
