Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,17,2009-12-04,21-061,CHI,@,CLE,L (-14),1,29:17,5,16,.313,0,0,,3,3,1.000,0,1,1,7,1,0,1,0,13,9.0,-15
18,18,2009-12-05,21-062,CHI,,TOR,L (-32),1,27:32,3,9,.333,0,0,,3,6,.500,0,0,0,5,0,0,2,1,9,3.8,-22
19,19,2009-12-08,21-065,CHI,,NJN,L (-2),1,42:15,13,23,.565,0,1,.000,1,4,.250,2,5,7,10,1,1,3,2,27,22.7,+11
20,20,2009-12-09,21-066,CHI,@,ATL,L (-35),1,32:01,7,18,.389,0,0,,5,5,1.000,1,1,2,7,0,0,5,0,19,10.1,-22
21,21,2009-12-11,21-068,CHI,,GSW,W (+5),1,43:29,7,22,.318,0,1,.000,1,2,.500,1,1,2,5,0,0,3,1,15,3.1,+1
22,22,2009-12-12,21-069,CHI,,BOS,L (-26),1,35:21,8,19,.421,0,0,,3,5,.600,2,3,5,3,1,1,1,1,19,12.8,-12
23,23,2009-12-15,21-072,CHI,,LAL,L (-9),1,33:19,9,22,.409,0,0,,3,4,.750,0,4,4,6,0,0,2,2,21,11.4,+8
24,24,2009-12-17,21-074,CHI,,NYK,W (+9),1,35:30,8,18,.444,0,0,,2,2,1.000,1,3,4,6,1,0,3,1,18,12.0,-10
25,25,2009-12-19,21-076,CHI,,ATL,W (+3),1,42:44,14,24,.583,0,1,.000,4,6,.667,1,3,4,6,0,0,0,0,32,25.8,+4
26,26,2009-12-21,21-078,CHI,,SAC,L (-4),1,41:16,9,19,.474,0,0,,6,7,.857,1,2,3,7,0,1,3,0,24,17.8,-2
27,27,2009-12-22,21-079,CHI,@,NYK,L (-7),1,34:38,11,21,.524,1,1,1.000,3,3,1.000,1,5,6,4,0,0,2,0,26,18.7,-5
28,28,2009-12-26,21-083,CHI,,NOH,W (+11),1,39:44,7,20,.350,0,0,,0,0,,4,2,6,9,2,0,3,1,14,11.1,+21
29,29,2009-12-29,21-086,CHI,,IND,W (+9),1,41:13,11,20,.550,0,1,.000,6,8,.750,2,3,5,6,0,1,6,1,28,18.4,+1
30,30,2009-12-31,21-088,CHI,@,DET,W (+11),1,40:05,7,18,.389,0,1,.000,8,8,1.000,0,4,4,4,1,2,2,1,22,16.2,+12
31,31,2010-01-02,21-090,CHI,,ORL,W (+8),1,38:08,11,23,.478,0,0,,8,10,.800,1,5,6,7,0,0,2,1,30,22.2,+9
32,32,2010-01-04,21-092,CHI,,OKC,L (-13),1,36:42,9,20,.450,0,0,,1,1,1.000,1,2,3,7,2,0,2,1,19,14.4,-10
33,33,2010-01-05,21-093,CHI,@,CHA,L (-5),1,37:52,11,19,.579,0,1,.000,2,3,.667,1,2,3,9,0,1,7,3,24,14.8,-4
34,34,2010-01-08,21-096,CHI,@,MIL,L (-3),1,37:34,10,25,.400,0,0,,5,7,.714,1,4,5,9,0,0,2,2,25,16.1,-9
35,35,2010-01-09,21-097,CHI,,MIN,W (+14),1,31:20,3,7,.429,0,0,,2,4,.500,0,4,4,7,2,0,1,2,8,9.8,+7
36,36,2010-01-11,21-099,CHI,,DET,W (+33),1,25:19,11,13,.846,0,0,,0,0,,0,2,2,9,1,0,2,2,22,22.4,+29
37,37,2010-01-14,21-102,CHI,@,BOS,W (+13),1,29:57,8,16,.500,0,0,,1,2,.500,1,7,8,4,0,0,3,3,17,10.0,+12
38,38,2010-01-15,21-103,CHI,,WAS,W (+2),1,50:15,16,33,.485,0,0,,5,7,.714,1,8,9,6,0,0,3,1,37,23.4,+5
39,39,2010-01-18,21-106,CHI,@,GSW,L (-17),1,34:49,7,19,.368,0,0,,5,8,.625,0,2,2,4,1,0,4,2,19,6.9,-20
40,40,2010-01-20,21-108,CHI,@,LAC,L (-7),1,43:17,10,24,.417,0,0,,3,4,.750,3,5,8,7,1,2,4,0,23,16.7,-1
41,41,2010-01-22,21-110,CHI,@,PHO,W (+11),1,43:44,15,21,.714,1,1,1.000,1,3,.333,0,3,3,5,3,0,1,0,32,28.9,+7
42,42,2010-01-23,21-111,CHI,@,HOU,W (+7),1,35:19,7,14,.500,0,1,.000,6,8,.750,0,3,3,4,0,1,4,4,20,11.0,+11
43,43,2010-01-25,21-113,CHI,@,SAS,W (+5),1,34:32,13,23,.565,1,1,1.000,0,0,,0,3,3,6,0,0,0,0,27,21.2,+6
44,44,2010-01-27,21-115,CHI,@,OKC,W (+10),1,36:57,13,23,.565,0,1,.000,0,0,,1,2,3,7,0,0,2,2,26,18.5,+8
45,45,2010-01-29,21-117,CHI,@,NOH,W (+2),1,44:36,7,19,.368,0,0,,4,5,.800,0,4,4,5,3,0,4,1,18,10.4,+7
46,46,2010-02-02,21-121,CHI,,LAC,L (-8),1,36:11,7,20,.350,0,1,.000,2,2,1.000,1,3,4,4,0,0,4,0,16,5.2,-16
47,47,2010-02-03,21-122,CHI,@,PHI,L (-3),1,42:52,10,22,.455,1,1,1.000,9,10,.900,2,2,4,9,0,0,4,1,30,22.1,+2
48,48,2010-02-05,21-124,CHI,@,ATL,L (-10),1,40:42,9,21,.429,0,2,.000,1,2,.500,1,2,3,6,0,0,2,0,19,11.0,-9
49,49,2010-02-06,21-125,CHI,,MIA,W (+4),1,43:00,9,19,.474,0,0,,6,8,.750,0,5,5,2,0,0,3,0,24,13.4,-2
50,50,2010-02-09,21-128,CHI,@,IND,W (+8),1,38:13,9,18,.500,0,1,.000,3,3,1.000,1,2,3,7,2,0,5,2,21,14.4,+6
51,51,2010-02-10,21-129,CHI,,ORL,L (-20),1,2:24,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.7,-3
52,52,2010-02-16,21-135,CHI,,NYK,W (+33),1,27:02,14,18,.778,0,0,,1,1,1.000,0,3,3,6,1,0,2,0,29,26.1,+23
53,53,2010-02-17,21-136,CHI,@,NYK,W (+6),1,39:34,10,19,.526,0,0,,7,9,.778,0,4,4,6,1,0,1,1,27,21.9,-2
54,54,2010-02-19,21-138,CHI,@,MIN,W (+6),1,38:38,8,17,.471,0,1,.000,3,4,.750,1,7,8,5,1,0,3,2,19,13.4,+8
55,55,2010-02-20,21-139,CHI,,PHI,W (+32),1,33:49,7,16,.438,1,1,1.000,2,4,.500,2,2,4,6,1,0,1,0,17,14.0,+24
56,56,2010-02-22,21-141,CHI,@,WAS,L (-6),1,39:05,8,16,.500,0,1,.000,6,7,.857,2,3,5,6,1,0,4,3,22,15.9,-6
57,57,2010-02-24,21-143,CHI,,IND,W (+10),1,39:08,10,19,.526,0,0,,3,4,.750,0,9,9,8,1,1,4,2,23,18.5,+17
58,58,2010-02-26,21-145,CHI,,POR,W (+4),1,46:37,15,25,.600,0,0,,3,4,.750,1,1,2,4,1,0,5,1,33,20.5,-2
59,59,2010-02-27,21-146,CHI,@,IND,L (-10),1,37:35,9,14,.643,0,0,,9,12,.750,0,2,2,4,1,0,2,1,27,21.6,-4
60,60,2010-03-01,21-148,CHI,,ATL,L (-24),1,31:27,11,24,.458,0,0,,2,2,1.000,0,0,0,3,0,0,2,0,24,11.7,-10
61,61,2010-03-04,21-151,CHI,,MEM,L (-9),1,38:28,9,21,.429,0,0,,2,2,1.000,1,2,3,3,2,1,3,1,20,11.6,-8
62,62,2010-03-06,21-153,CHI,,DAL,L (-6),1,42:10,15,22,.682,0,2,.000,4,4,1.000,0,0,0,8,0,0,2,2,34,27.4,+2
63,63,2010-03-09,21-156,CHI,,UTA,L (-24),1,38:56,10,19,.526,0,0,,5,6,.833,2,2,4,13,0,0,5,0,25,21.4,-22
64,64,2010-03-11,21-158,CHI,@,ORL,L (-29),1,12:00,1,4,.250,0,0,,1,2,.500,0,0,0,2,0,0,0,1,3,1.2,-11
65,,2010-03-12,21-159,CHI,@,MIA,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,,2010-03-16,21-163,CHI,@,MEM,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,,2010-03-17,21-164,CHI,@,DAL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,,2010-03-19,21-166,CHI,,CLE,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,65,2010-03-20,21-167,CHI,@,PHI,W (+14),1,37:23,9,16,.563,4,6,.667,1,1,1.000,0,4,4,5,1,1,1,3,23,19.6,+18
70,66,2010-03-22,21-169,CHI,,HOU,W (+10),1,46:35,12,22,.545,2,7,.286,1,4,.250,2,5,7,8,0,1,4,3,27,19.2,+9
71,67,2010-03-25,21-172,CHI,,MIA,L (-29),1,32:42,5,16,.313,0,2,.000,2,4,.500,1,4,5,5,0,0,1,0,12,6.4,-33
72,68,2010-03-27,21-174,CHI,,NJN,W (+23),1,35:29,3,12,.250,0,0,,1,2,.500,0,5,5,9,1,1,0,0,7,8.9,+19
73,69,2010-03-28,21-175,CHI,@,DET,W (+7),1,35:56,7,13,.538,0,1,.000,7,8,.875,0,3,3,9,1,1,1,1,21,21.8,0
74,70,2010-03-30,21-177,CHI,,PHO,L (-6),1,42:30,7,16,.438,1,4,.250,8,9,.889,1,4,5,10,1,0,1,0,23,23.1,-3
75,71,2010-04-02,21-180,CHI,@,WAS,W (+8),1,40:49,10,19,.526,0,1,.000,4,4,1.000,2,2,4,5,0,0,3,0,24,17.2,0
76,72,2010-04-03,21-181,CHI,,CHA,W (+8),1,40:42,10,19,.526,0,1,.000,6,6,1.000,0,4,4,5,0,1,3,0,26,19.1,+6
77,73,2010-04-06,21-184,CHI,,MIL,L (-5),1,38:07,5,12,.417,0,0,,2,2,1.000,0,5,5,11,1,0,6,3,12,8.6,0
78,74,2010-04-08,21-186,CHI,,CLE,W (+1),1,38:16,10,17,.588,1,3,.333,3,7,.429,0,3,3,10,1,0,4,3,24,18.2,+6
79,75,2010-04-09,21-187,CHI,@,NJN,L (-11),1,47:44,9,19,.474,0,1,.000,7,12,.583,0,6,6,6,0,0,7,6,25,9.9,-4
80,76,2010-04-11,21-189,CHI,@,TOR,W (+16),1,37:39,12,23,.522,0,3,.000,2,2,1.000,1,3,4,7,1,1,1,0,26,21.9,+7
81,77,2010-04-13,21-191,CHI,,BOS,W (+8),1,45:35,15,22,.682,0,0,,9,10,.900,2,3,5,7,0,3,2,2,39,35.7,+12
82,78,2010-04-14,21-192,CHI,@,CHA,W (+9),1,42:59,10,19,.526,2,4,.500,5,6,.833,2,0,2,5,2,1,5,0,27,19.9,+8
