Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
77,72,2023-03-31,21-242,TOR,@,PHI,L (-7),1,39:51,13,19,.684,0,1,.000,3,4,.750,7,2,9,8,4,1,2,3,29,33.1,
78,73,2023-04-02,21-244,TOR,@,CHO,W (+20),1,36:04,6,12,.500,0,1,.000,0,0,,1,2,3,3,2,1,3,1,12,8.7,+15
79,74,2023-04-04,21-246,TOR,@,CHO,W (+20),1,29:08,0,7,.000,0,3,.000,0,0,,0,3,3,3,1,0,1,1,0,-2.3,-3
80,75,2023-04-05,21-247,TOR,@,BOS,L (-4),1,39:12,7,13,.538,2,5,.400,2,4,.500,1,7,8,5,2,1,4,3,18,14.7,+1
81,76,2023-04-07,21-249,TOR,@,BOS,L (-19),1,29:48,3,10,.300,0,2,.000,2,3,.667,0,2,2,3,0,1,2,2,8,2.4,-15
82,77,2023-04-09,21-251,TOR,,MIL,W (+16),1,21:43,4,9,.444,0,2,.000,0,0,,0,2,2,5,0,0,1,0,8,6.4,+8
1,1,2023-10-25,22-085,TOR,,MIN,W (+3),1,37:03,6,16,.375,1,4,.250,4,6,.667,1,7,8,5,2,5,4,1,17,14.8,+2
2,2,2023-10-27,22-087,TOR,@,CHI,L (-1),1,38:35,9,14,.643,1,2,.500,3,4,.750,1,9,10,10,0,2,7,5,22,18.2,+15
3,3,2023-10-28,22-088,TOR,,PHI,L (-7),1,36:39,11,16,.688,2,5,.400,0,0,,1,7,8,5,0,2,1,3,24,22.7,-6
4,4,2023-10-30,22-090,TOR,,POR,L (-8),1,37:21,8,19,.421,1,4,.250,3,3,1.000,4,8,12,2,2,1,4,3,20,14.0,+1
5,5,2023-11-01,22-092,TOR,,MIL,W (+19),1,28:35,8,16,.500,4,6,.667,1,1,1.000,5,7,12,5,1,2,3,1,21,21.1,+14
6,6,2023-11-02,22-093,TOR,@,PHI,L (-15),1,35:02,9,16,.563,2,7,.286,4,4,1.000,2,6,8,8,0,0,1,4,24,22.6,-11
7,7,2023-11-05,22-096,TOR,@,SAS,W (+7),1,42:11,9,20,.450,5,10,.500,7,11,.636,4,7,11,6,3,3,3,1,30,28.8,+14
8,8,2023-11-08,22-099,TOR,@,DAL,W (+11),1,39:09,4,15,.267,0,4,.000,6,8,.750,6,8,14,7,4,2,0,2,14,20.4,+9
9,9,2023-11-11,22-102,TOR,@,BOS,L (-23),1,28:43,4,15,.267,2,9,.222,0,0,,1,4,5,4,1,1,1,1,10,6.1,-28
10,10,2023-11-13,22-104,TOR,,WAS,W (+4),1,38:05,8,17,.471,0,2,.000,3,4,.750,3,6,9,4,5,0,1,3,19,19.4,-3
11,11,2023-11-15,22-106,TOR,,MIL,L (-16),1,31:23,11,19,.579,3,3,1.000,4,5,.800,5,4,9,7,1,0,3,2,29,26.5,-24
12,12,2023-11-17,22-108,TOR,,BOS,L (-3),1,32:25,5,13,.385,2,6,.333,2,3,.667,0,3,3,6,0,1,1,2,14,10.5,-3
13,13,2023-11-19,22-110,TOR,,DET,W (+29),1,25:14,7,11,.636,3,4,.750,0,0,,2,5,7,9,0,0,3,1,17,17.9,+37
14,14,2023-11-21,22-112,TOR,@,ORL,L (-19),1,30:00,5,11,.455,1,4,.250,3,4,.750,0,8,8,4,3,0,5,1,14,10.7,-22
15,15,2023-11-22,22-113,TOR,@,IND,W (+1),1,39:25,7,17,.412,2,6,.333,4,5,.800,3,9,12,4,4,0,3,0,20,19.1,-10
16,16,2023-11-24,22-115,TOR,,CHI,W (+13),1,32:34,5,11,.455,2,5,.400,1,2,.500,5,5,10,6,1,2,1,1,13,17.1,+19
17,17,2023-11-26,22-117,TOR,@,CLE,L (-3),1,33:01,5,14,.357,1,4,.250,4,5,.800,1,7,8,3,1,1,2,1,15,11.0,-20
18,18,2023-11-28,22-119,TOR,@,BRK,L (-12),1,36:19,5,19,.263,3,7,.429,4,5,.800,4,7,11,6,3,0,1,4,17,14.8,-22
19,19,2023-11-29,22-120,TOR,,PHO,W (+7),1,37:43,7,15,.467,1,3,.333,8,8,1.000,2,5,7,4,0,3,0,4,23,21.5,+14
20,20,2023-12-01,22-122,TOR,,NYK,L (-13),1,36:44,13,19,.684,3,7,.429,0,1,.000,3,6,9,4,5,1,2,2,29,30.1,-7
21,21,2023-12-06,22-127,TOR,,MIA,L (-9),1,33:30,5,17,.294,2,7,.286,0,0,,3,8,11,5,0,1,3,2,12,7.0,-25
22,22,2023-12-08,22-129,TOR,@,CHO,L (-3),1,36:02,12,18,.667,3,6,.500,4,8,.500,4,6,10,10,2,1,5,1,31,30.5,+1
23,23,2023-12-11,22-132,TOR,@,NYK,L (-6),1,37:58,7,13,.538,3,8,.375,3,3,1.000,4,2,6,5,2,0,1,1,20,21.2,-10
24,24,2023-12-13,22-134,TOR,,ATL,W (+7),1,34:02,11,14,.786,3,4,.750,2,3,.667,1,9,10,6,0,1,3,3,27,25.3,+7
25,25,2023-12-15,22-136,TOR,,ATL,L (-21),1,34:19,9,15,.600,1,5,.200,4,8,.500,1,3,4,8,1,2,3,2,23,20.3,-19
26,26,2023-12-18,22-139,TOR,,CHO,W (+15),1,38:37,7,14,.500,1,2,.500,7,7,1.000,5,12,17,7,0,3,5,3,22,22.9,+22
27,27,2023-12-20,22-141,TOR,,DEN,L (-9),1,33:04,13,22,.591,1,5,.200,3,4,.750,1,9,10,5,0,1,2,0,30,25.0,-4
28,28,2023-12-22,22-143,TOR,@,PHI,L (-10),1,34:47,3,11,.273,2,7,.286,4,4,1.000,1,6,7,7,1,4,3,0,12,13.7,-1
29,29,2023-12-23,22-144,TOR,,UTA,L (-7),1,37:51,12,23,.522,4,8,.500,4,4,1.000,3,11,14,7,0,1,4,4,32,26.1,-6
30,30,2023-12-27,22-148,TOR,@,WAS,W (+30),1,33:29,8,16,.500,4,8,.500,0,0,,5,7,12,8,3,2,2,0,20,25.6,+10
31,31,2023-12-29,22-150,TOR,@,BOS,L (-2),1,38:11,10,24,.417,7,15,.467,3,4,.750,3,7,10,5,1,3,2,2,30,24.8,-3
32,32,2023-12-30,22-151,TOR,@,DET,L (-2),1,36:16,8,20,.400,1,5,.200,5,5,1.000,2,7,9,2,2,1,1,4,22,16.2,+1
33,33,2024-01-01,22-153,TOR,,CLE,W (+3),1,35:58,7,17,.412,1,5,.200,5,7,.714,1,5,6,5,1,1,0,3,20,16.3,-5
34,34,2024-01-03,22-155,TOR,@,MEM,W (+5),1,39:50,7,14,.500,2,5,.400,4,4,1.000,0,2,2,8,1,0,1,2,20,18.4,+2
35,35,2024-01-05,22-157,TOR,@,SAC,L (-5),1,35:03,8,15,.533,4,8,.500,0,0,,0,4,4,6,1,2,5,2,20,14.7,-23
36,36,2024-01-07,22-159,TOR,@,GSW,W (+15),1,23:40,3,11,.273,0,4,.000,0,0,,1,1,2,3,1,1,2,1,6,1.9,+3
37,37,2024-01-09,22-161,TOR,@,LAL,L (-1),1,40:10,11,20,.550,3,7,.429,1,2,.500,1,2,3,6,0,2,2,6,26,18.5,0
38,38,2024-01-10,22-162,TOR,@,LAC,L (-6),1,34:29,5,10,.500,1,5,.200,1,3,.333,0,7,7,6,0,2,2,1,12,11.5,-9
39,39,2024-01-12,22-164,TOR,@,UTA,L (-32),1,28:06,6,13,.462,2,4,.500,5,11,.455,1,2,3,3,0,3,3,3,19,11.2,-21
40,40,2024-01-15,22-167,TOR,,BOS,L (-9),1,40:40,5,12,.417,0,2,.000,0,0,,2,11,13,2,2,0,4,2,10,6.9,-1
41,41,2024-01-17,22-169,TOR,,MIA,W (+24),1,33:57,9,16,.563,1,6,.167,1,1,1.000,2,3,5,8,2,1,5,2,20,17.2,+5
42,42,2024-01-18,22-170,TOR,,CHI,L (-6),1,37:26,11,18,.611,2,6,.333,7,9,.778,1,6,7,6,3,3,6,1,31,27.4,-3
43,43,2024-01-20,22-172,TOR,@,NYK,L (-26),1,32:44,4,14,.286,0,3,.000,1,3,.333,2,4,6,7,0,2,3,2,9,5.1,-15
