Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,1996-11-03,8306,NYK,H,CHH,W (+27),0,12:00,3,6,.500,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,0,8,5.7,-6
6,2,1996-11-10,8313,NYK,A,VAN,W (+19),0,3:12,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,3.3,-2
13,3,1996-11-24,8327,NYK,H,SEA,L (-10),0,10:18,0,2,.000,0,0,,0,0,,0,3,3,0,1,1,1,2,0,-0.6,+8
16,4,1996-12-04,8337,NYK,A,NJN,W (+7),0,3:08,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,-4
17,5,1996-12-06,8339,NYK,A,MIA,W (+18),0,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+1
18,6,1996-12-07,8340,NYK,H,LAC,W (+9),0,19:06,3,6,.500,0,1,.000,1,1,1.000,2,3,5,2,0,1,2,0,7,6.4,+3
20,7,1996-12-12,8345,NYK,H,GSW,W (+11),0,10:23,2,5,.400,1,2,.500,0,0,,0,2,2,1,0,0,0,4,5,2.0,-2
23,8,1996-12-18,8351,NYK,A,DET,L (-34),0,13:45,1,6,.167,0,1,.000,1,1,1.000,1,2,3,1,0,0,2,5,3,-2.8,-4
25,9,1996-12-21,8354,NYK,H,DET,W (+3),0,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
31,10,1997-01-04,8368,NYK,A,ATL,L (-17),0,2:55,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-0.3,-2
33,11,1997-01-07,8371,NYK,H,DAL,W (+30),0,12:00,2,5,.400,0,2,.000,0,0,,0,1,1,2,0,1,2,4,4,0.1,-9
34,12,1997-01-10,8374,NYK,A,BOS,W (+13),0,12:13,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,2,1,6,2.7,+2
35,13,1997-01-11,8375,NYK,H,BOS,W (+13),0,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
36,14,1997-01-14,8378,NYK,A,HOU,L (-20),0,4:54,1,5,.200,0,1,.000,0,0,,0,1,1,1,1,0,0,0,2,0.9,+1
37,15,1997-01-15,8379,NYK,A,SAS,W (+17),0,2:01,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
38,16,1997-01-18,8382,NYK,A,PHO,L (-7),0,1:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
39,17,1997-01-20,8384,NYK,H,WSB,W (+16),0,1:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2
40,18,1997-01-23,8387,NYK,A,IND,W (+2),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
47,19,1997-02-06,8400,NYK,H,SAS,W (+12),0,1:46,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,1,0,0,0.0,-4
49,20,1997-02-13,8407,NYK,H,PHI,W (+15),0,0:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
52,21,1997-02-20,8414,NYK,A,SAC,W (+22),0,1:48,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,+5
53,22,1997-02-21,8415,NYK,A,SEA,L (-20),0,4:01,1,2,.500,0,0,,0,2,.000,2,0,2,0,0,0,0,1,2,1.2,+5
57,23,1997-02-28,8422,NYK,A,DEN,W (+4),0,5:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+2
60,24,1997-03-05,8427,NYK,A,TOR,W (+6),0,5:21,0,2,.000,0,0,,0,0,,0,1,1,1,1,1,0,3,0,0.1,+4
61,25,1997-03-07,8429,NYK,A,BOS,W (+11),0,12:18,3,5,.600,1,1,1.000,0,0,,2,0,2,0,1,2,0,1,7,8.1,+23
63,26,1997-03-11,8433,NYK,A,DAL,L (-8),0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
64,27,1997-03-16,8438,NYK,H,NJN,L (-15),0,5:58,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,-0.1,+3
65,28,1997-03-18,8440,NYK,H,VAN,W (+25),0,9:10,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,1,4,5.0,+11
66,29,1997-03-19,8441,NYK,A,PHI,W (+11),0,8:46,0,2,.000,0,0,,2,2,1.000,0,0,0,1,1,0,1,2,2,0.5,-3
67,30,1997-03-22,8444,NYK,A,MIL,L (-1),0,10:05,0,2,.000,0,0,,0,0,,0,0,0,1,0,2,1,4,0,-1.9,-5
69,31,1997-03-26,8448,NYK,H,DET,W (+11),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
75,32,1997-04-08,8461,NYK,H,CLE,L (-20),0,4:31,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1
78,33,1997-04-14,8467,NYK,A,IND,L (-3),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
80,34,1997-04-18,8471,NYK,H,IND,W (+8),0,5:49,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,+3
81,35,1997-04-19,8472,NYK,A,CHI,W (+2),0,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
1,1,1997-10-31,8667,BOS,H,CHI,W (+7),1,20:30,4,12,.333,0,1,.000,1,1,1.000,4,2,6,3,1,1,3,5,9,4.4,+8
2,2,1997-11-02,8669,BOS,H,ORL,L (-11),1,37:39,2,11,.182,1,1,1.000,3,4,.750,4,3,7,6,2,0,3,2,8,6.8,-9
3,3,1997-11-04,8671,BOS,A,NYK,L (-32),1,30:57,3,11,.273,0,1,.000,0,0,,0,7,7,2,1,0,4,3,6,-1.2,-18
4,4,1997-11-05,8672,BOS,H,MIA,L (-16),1,30:21,2,11,.182,1,3,.333,2,2,1.000,3,0,3,2,2,1,1,4,7,3.7,-6
5,5,1997-11-07,8674,BOS,H,CLE,L (-4),1,42:53,4,11,.364,0,1,.000,5,6,.833,3,3,6,4,4,2,3,3,13,13.5,+5
6,6,1997-11-08,8675,BOS,A,MIL,L (-9),1,27:39,4,7,.571,0,2,.000,2,2,1.000,2,3,5,1,0,2,3,6,10,5.7,-7
7,7,1997-11-12,8679,BOS,H,DEN,W (+10),1,26:19,4,10,.400,1,1,1.000,4,4,1.000,1,2,3,0,2,0,2,5,13,6.9,-9
8,8,1997-11-14,8681,BOS,H,TOR,W (+4),1,31:28,2,7,.286,0,0,,6,10,.600,2,1,3,4,2,0,2,4,10,7.2,-11
9,9,1997-11-15,8682,BOS,A,PHI,W (+6),1,36:02,8,11,.727,0,1,.000,3,4,.750,3,4,7,3,2,3,0,6,19,21.2,+4
10,10,1997-11-18,8685,BOS,A,TOR,W (+13),1,30:34,7,11,.636,1,1,1.000,3,4,.750,0,3,3,5,3,2,1,1,18,20.1,+14
11,11,1997-11-19,8686,BOS,A,NJN,L (-8),1,30:33,7,11,.636,1,2,.500,3,3,1.000,5,5,10,1,0,0,4,5,18,12.8,+9
12,12,1997-11-21,8688,BOS,H,NJN,W (+8),1,22:41,1,6,.167,0,0,,3,4,.750,1,5,6,1,1,0,4,5,5,-1.3,+2
13,13,1997-11-23,8690,BOS,H,DET,W (+4),1,23:59,2,8,.250,0,2,.000,2,2,1.000,1,3,4,3,2,0,2,6,6,2.5,-4
14,14,1997-11-26,8693,BOS,H,LAL,L (-15),1,31:14,1,6,.167,0,0,,0,0,,2,3,5,2,2,0,2,1,2,1.5,-23
15,15,1997-11-28,8695,BOS,H,PHO,L (-4),0,26:00,4,10,.400,1,5,.200,4,4,1.000,2,1,3,0,0,0,2,2,13,6.5,-7
16,16,1997-11-29,8696,BOS,A,CLE,L (-6),1,28:15,6,9,.667,2,3,.667,1,3,.333,0,2,2,3,3,0,2,6,15,11.6,+10
17,17,1997-12-03,8700,BOS,H,CHI,L (-10),1,26:07,1,9,.111,1,1,1.000,4,4,1.000,2,4,6,3,0,1,4,1,7,2.1,-18
18,18,1997-12-05,8702,BOS,A,MIA,L (-20),1,34:37,3,10,.300,1,4,.250,10,11,.909,5,3,8,4,0,0,0,4,17,16.4,-23
19,19,1997-12-10,8707,BOS,H,MIL,W (+5),1,27:54,6,10,.600,1,2,.500,3,4,.750,2,4,6,1,1,1,2,5,16,12.0,+9
20,20,1997-12-12,8709,BOS,H,WAS,W (+9),1,12:52,5,8,.625,0,1,.000,0,0,,1,2,3,0,0,0,1,4,10,5.1,+12
21,21,1997-12-13,8710,BOS,A,DET,L (-16),1,43:25,7,15,.467,1,2,.500,4,6,.667,2,1,3,2,2,1,3,1,19,12.9,-14
22,22,1997-12-15,8712,BOS,H,PHI,W (+17),1,31:56,5,10,.500,1,2,.500,1,2,.500,0,6,6,0,1,1,1,3,12,7.9,+3
23,23,1997-12-17,8714,BOS,A,TOR,W (+5),1,39:41,5,10,.500,2,3,.667,0,0,,1,2,3,3,5,0,2,2,12,12.6,+11
24,24,1997-12-21,8718,BOS,H,LAC,W (+22),1,33:44,3,8,.375,1,3,.333,3,6,.500,2,5,7,2,2,1,2,3,10,8.2,+19
25,25,1997-12-23,8720,BOS,H,CHH,W (+6),1,32:44,5,9,.556,1,4,.250,2,4,.500,3,0,3,5,1,1,2,6,13,10.8,-1
26,26,1997-12-26,8723,BOS,A,SAS,L (-15),1,35:55,4,12,.333,2,5,.400,0,0,,2,4,6,2,1,0,2,4,10,4.6,-18
27,27,1997-12-28,8725,BOS,A,LAL,W (+6),1,36:39,6,11,.545,1,2,.500,6,8,.750,1,6,7,3,0,1,0,3,19,17.0,+2
28,28,1997-12-30,8727,BOS,A,PHO,L (-10),1,23:51,5,9,.556,2,3,.667,1,2,.500,5,2,7,1,1,0,3,3,13,9.9,-4
29,29,1998-01-02,8730,BOS,H,MIN,W (+4),1,31:25,1,6,.167,0,1,.000,8,8,1.000,2,2,4,3,2,1,1,4,10,10.4,-17
30,30,1998-01-03,8731,BOS,A,MIL,W (+7),1,43:24,8,13,.615,2,3,.667,1,1,1.000,1,2,3,3,0,0,2,2,19,13.7,+14
31,31,1998-01-06,8734,BOS,A,CHI,L (-11),1,36:31,3,8,.375,1,3,.333,4,5,.800,1,4,5,4,1,1,0,3,11,11.4,-12
32,32,1998-01-07,8735,BOS,A,WAS,L (-2),1,35:51,2,8,.250,0,0,,2,2,1.000,4,3,7,3,2,0,2,4,6,5.4,-1
33,33,1998-01-09,8737,BOS,H,SEA,L (-19),1,22:07,3,11,.273,1,2,.500,0,0,,0,1,1,2,0,0,1,5,7,-0.8,-12
34,34,1998-01-10,8738,BOS,A,ORL,L (-8),1,34:05,5,16,.313,0,2,.000,2,3,.667,5,4,9,1,3,0,1,2,12,9.0,-4
35,35,1998-01-13,8741,BOS,H,SAS,L (-9),1,17:45,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.9,-17
36,36,1998-01-15,8743,BOS,H,VAN,W (+4),1,32:31,5,10,.500,0,1,.000,4,4,1.000,1,4,5,1,1,1,2,2,14,10.5,+9
37,37,1998-01-18,8746,BOS,H,IND,L (-7),1,17:25,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,0,2,4,3.2,-4
38,38,1998-01-19,8747,BOS,A,NYK,L (-16),1,26:32,3,8,.375,1,3,.333,1,2,.500,1,1,2,1,0,0,2,4,8,1.3,-7
39,39,1998-01-21,8749,BOS,A,MIN,L (-9),1,29:37,3,9,.333,1,4,.250,4,4,1.000,1,5,6,0,0,1,2,5,11,4.8,-2
40,40,1998-01-23,8751,BOS,A,ATL,W (+4),1,26:00,4,8,.500,1,4,.250,0,0,,1,1,2,4,2,0,4,3,9,5.6,+6
41,41,1998-01-24,8752,BOS,A,IND,L (-7),1,21:25,1,5,.200,1,2,.500,0,0,,2,2,4,2,0,1,2,0,3,2.0,-2
42,42,1998-01-26,8754,BOS,H,NYK,W (+9),1,39:33,5,12,.417,0,4,.000,0,0,,1,4,5,5,1,1,3,1,10,7.3,+10
43,43,1998-01-28,8756,BOS,H,WAS,W (+2),1,21:26,5,10,.500,2,4,.500,0,0,,1,4,5,4,2,1,0,4,12,12.8,+2
44,44,1998-01-30,8758,BOS,H,CHH,L (-2),1,30:11,2,7,.286,1,2,.500,1,2,.500,1,4,5,0,2,1,2,3,6,2.9,+1
45,45,1998-02-01,8760,BOS,H,HOU,W (+11),1,27:54,1,6,.167,0,2,.000,0,0,,0,0,0,4,2,1,1,3,2,1.5,-1
46,46,1998-02-03,8762,BOS,A,CHH,L (-4),1,20:17,4,8,.500,1,3,.333,0,0,,0,5,5,2,0,0,1,4,9,5.3,+5
47,47,1998-02-04,8763,BOS,H,DAL,W (+11),1,18:35,5,9,.556,1,1,1.000,1,2,.500,1,2,3,0,0,0,1,5,12,5.6,-20
48,48,1998-02-10,8769,BOS,A,DEN,L (-13),1,21:50,4,11,.364,1,4,.250,0,0,,3,0,3,0,2,0,1,3,9,4.8,-27
49,49,1998-02-12,8771,BOS,A,UTA,L (-18),0,14:31,0,2,.000,0,2,.000,0,0,,0,1,1,3,1,0,1,3,0,-0.2,-2
50,50,1998-02-13,8772,BOS,A,LAC,W (+1),0,10:36,2,3,.667,0,0,,0,0,,0,2,2,1,1,1,0,3,4,4.5,-2
51,51,1998-02-15,8774,BOS,A,GSW,L (-14),1,29:17,2,8,.250,1,3,.333,1,2,.500,2,0,2,3,1,0,1,4,6,2.7,-11
52,52,1998-02-17,8776,BOS,A,SAC,L (-3),0,31:41,6,9,.667,0,1,.000,8,11,.727,1,6,7,1,2,1,2,6,20,16.4,0
53,53,1998-02-18,8777,BOS,A,VAN,W (+9),0,29:44,2,9,.222,0,1,.000,2,2,1.000,3,1,4,5,2,1,1,2,6,7.3,+3
54,54,1998-02-20,8779,BOS,A,SEA,W (+10),0,27:28,4,11,.364,1,2,.500,1,2,.500,3,1,4,4,1,1,2,2,10,7.6,+1
55,55,1998-02-22,8781,BOS,A,POR,L (-25),0,24:02,0,5,.000,0,2,.000,2,2,1.000,1,1,2,3,3,1,2,3,2,2.1,-2
56,56,1998-02-25,8784,BOS,H,SAC,W (+17),0,20:29,2,3,.667,0,1,.000,0,0,,1,2,3,3,2,0,0,2,4,7.3,+16
57,57,1998-02-27,8786,BOS,H,GSW,W (+32),0,29:21,2,9,.222,0,2,.000,0,0,,3,3,6,2,0,1,3,5,4,-1.4,+17
58,58,1998-03-01,8788,BOS,H,POR,W (+1),0,15:55,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,3,2,0.8,+14
59,59,1998-03-04,8791,BOS,H,UTA,L (-16),0,15:34,0,5,.000,0,1,.000,0,0,,0,2,2,2,1,1,1,2,0,-1.6,-14
60,60,1998-03-06,8793,BOS,H,WAS,W (+10),0,25:30,3,6,.500,1,2,.500,1,2,.500,3,2,5,1,2,0,0,3,8,8.8,+5
61,61,1998-03-08,8795,BOS,A,IND,L (-4),0,20:19,3,11,.273,0,3,.000,0,1,.000,2,2,4,0,3,0,2,3,6,0.9,-6
62,62,1998-03-11,8798,BOS,H,ATL,L (-5),0,29:15,7,12,.583,1,2,.500,4,4,1.000,1,3,4,2,2,0,1,3,19,16.2,+10
63,63,1998-03-13,8800,BOS,H,DET,L (-4),0,27:30,5,7,.714,3,4,.750,1,2,.500,1,1,2,3,2,1,2,4,14,12.9,+3
64,64,1998-03-15,8802,BOS,A,ATL,L (-16),0,18:15,3,11,.273,0,2,.000,1,2,.500,1,2,3,0,1,0,0,2,7,1.6,-20
65,65,1998-03-17,8804,BOS,A,DAL,L (-6),1,40:40,5,15,.333,0,3,.000,0,0,,5,0,5,1,2,0,4,4,10,2.1,-11
66,66,1998-03-19,8806,BOS,A,HOU,L (-9),1,27:43,1,9,.111,0,2,.000,1,2,.500,1,4,5,4,0,0,1,2,3,-0.4,-11
