Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-10-28,21-225,BOS,,PHI,W (+17),0,1:58,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,0
4,2,2015-11-04,21-232,BOS,@,IND,L (-2),0,6:09,0,4,.000,0,1,.000,0,0,,1,4,5,0,0,0,2,1,0,-3.3,0
5,3,2015-11-06,21-234,BOS,,WAS,W (+20),0,19:22,2,8,.250,1,3,.333,0,0,,1,0,1,3,0,0,0,2,5,2.2,+4
6,4,2015-11-10,21-238,BOS,@,MIL,W (+16),0,0:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
7,5,2015-11-11,21-239,BOS,,IND,L (-11),0,16:05,2,9,.222,0,4,.000,0,0,,1,0,1,1,0,0,0,2,4,-0.9,+3
10,6,2015-11-16,21-244,BOS,@,HOU,W (+16),0,5:44,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,0.0,-13
13,7,2015-11-22,21-250,BOS,@,BRK,L (-10),0,5:02,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.0,-7
14,8,2015-11-24,21-252,BOS,@,ATL,L (-24),0,3:11,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,3.1,0
15,9,2015-11-25,21-253,BOS,,PHI,W (+4),0,2:22,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,0,0,-2.0,0
16,10,2015-11-27,21-255,BOS,,WAS,W (+33),0,10:21,0,3,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-1.5,+8
17,11,2015-11-29,21-257,BOS,@,ORL,L (-19),0,12:00,3,5,.600,0,0,,1,1,1.000,1,1,2,0,0,0,0,3,7,4.5,-2
18,12,2015-11-30,21-258,BOS,@,MIA,W (+10),0,5:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
19,13,2015-12-03,21-261,BOS,@,SAC,W (+17),0,2:58,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,+2
21,14,2015-12-07,21-265,BOS,@,NOP,W (+18),0,2:35,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,0,2,1.6,+1
25,15,2015-12-15,21-273,BOS,,CLE,L (-12),0,1:26,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
28,16,2015-12-21,21-279,BOS,,MIN,W (+14),0,1:02,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-1
45,17,2016-01-24,21-313,BOS,@,PHI,W (+20),0,5:47,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,0.9,-1
46,18,2016-01-25,21-314,BOS,@,WAS,W (+25),0,3:55,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,0,1,0,1.3,+1
56,19,2016-02-19,21-339,BOS,@,UTA,L (-18),0,3:06,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,0.4,-1
57,20,2016-02-21,21-341,BOS,@,DEN,W (+20),0,2:30,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
60,21,2016-02-27,21-347,BOS,,MIA,W (+12),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
62,22,2016-03-02,21-351,BOS,,POR,W (+23),0,6:09,1,7,.143,0,1,.000,0,0,,1,0,1,1,2,0,1,0,2,-0.1,-2
64,23,2016-03-05,21-354,BOS,@,CLE,L (-17),0,1:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
65,24,2016-03-09,21-358,BOS,,MEM,W (+20),0,1:51,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,0
66,25,2016-03-11,21-360,BOS,,HOU,L (-4),0,10:16,1,3,.333,1,2,.500,0,0,,3,4,7,3,0,0,1,0,3,5.7,-1
67,26,2016-03-15,21-364,BOS,@,IND,L (-5),0,11:40,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,1,0,0,2,2.7,-9
68,27,2016-03-16,21-365,BOS,,OKC,L (-21),0,14:40,1,3,.333,1,1,1.000,2,2,1.000,1,0,1,3,0,0,0,1,5,5.7,+4
69,28,2016-03-18,22-001,BOS,@,TOR,L (-14),0,10:11,3,4,.750,1,1,1.000,0,0,,1,2,3,5,0,0,0,1,7,9.8,+8
70,29,2016-03-20,22-003,BOS,@,PHI,W (+15),0,13:25,0,2,.000,0,0,,0,0,,3,1,4,4,0,0,2,2,0,1.0,-3
71,30,2016-03-21,22-004,BOS,,ORL,W (+11),0,14:10,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0.3,-13
72,31,2016-03-23,22-006,BOS,,TOR,W (+12),0,13:11,2,4,.500,1,2,.500,0,1,.000,0,3,3,1,0,0,1,0,5,3.2,-8
73,32,2016-03-26,22-009,BOS,@,PHO,W (+3),0,13:11,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,0,1,2,0.9,+4
74,33,2016-03-28,22-011,BOS,@,LAC,L (-24),0,20:29,1,4,.250,0,1,.000,0,0,,2,3,5,1,0,0,3,3,2,-1.6,-4
76,34,2016-04-01,22-015,BOS,@,GSW,W (+3),0,16:39,0,3,.000,0,0,,1,2,.500,1,4,5,0,0,0,0,0,1,0.4,-4
77,35,2016-04-03,22-017,BOS,@,LAL,W (+7),0,21:11,3,6,.500,0,2,.000,0,0,,2,5,7,3,1,0,0,1,6,8.6,+10
78,36,2016-04-06,22-020,BOS,,NOP,W (+7),0,16:37,1,6,.167,0,2,.000,0,0,,1,1,2,0,1,0,0,2,2,-0.6,-12
79,37,2016-04-08,22-022,BOS,,MIL,W (+15),0,6:21,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,2,1,4,0.3,-8
80,38,2016-04-09,22-023,BOS,@,ATL,L (-11),0,3:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
81,39,2016-04-11,22-025,BOS,,CHO,L (-14),0,5:00,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,1.2,-2
1,1,2016-10-26,22-223,BOS,,BRK,W (+5),0,27:51,2,5,.400,1,2,.500,0,0,,0,3,3,3,2,0,1,2,5,5.5,+2
2,2,2016-10-27,22-224,BOS,@,CHI,L (-6),0,22:39,3,7,.429,2,5,.400,0,0,,0,4,4,4,2,0,0,1,8,9.9,0
3,3,2016-10-29,22-226,BOS,@,CHO,W (+6),0,21:16,2,4,.500,0,1,.000,1,1,1.000,0,3,3,2,0,0,2,1,5,2.9,-10
4,4,2016-11-02,22-230,BOS,,CHI,W (+7),0,12:54,3,6,.500,1,2,.500,0,1,.000,0,2,2,0,0,0,0,1,7,3.8,-2
5,5,2016-11-03,22-231,BOS,@,CLE,L (-6),0,15:58,3,5,.600,1,2,.500,0,0,,0,3,3,2,0,0,0,2,7,6.2,+6
6,6,2016-11-06,22-234,BOS,,DEN,L (-16),0,16:15,2,6,.333,1,3,.333,0,0,,0,2,2,1,0,0,0,0,5,2.9,-4
7,7,2016-11-09,22-237,BOS,@,WAS,L (-25),0,14:03,0,4,.000,0,1,.000,0,2,.000,0,1,1,3,0,0,1,0,0,-2.2,-14
8,8,2016-11-11,22-239,BOS,,NYK,W (+28),0,26:49,1,8,.125,1,1,1.000,7,8,.875,2,3,5,1,2,0,0,2,10,8.6,+28
9,9,2016-11-12,22-240,BOS,@,IND,W (+6),0,21:49,4,7,.571,2,4,.500,1,2,.500,0,6,6,1,1,1,0,0,11,11.5,+14
10,10,2016-11-14,22-242,BOS,@,NOP,L (-1),0,12:39,3,7,.429,1,4,.250,0,0,,1,1,2,0,0,0,0,2,7,3.5,-10
11,11,2016-11-16,22-244,BOS,,DAL,W (+7),0,21:31,2,4,.500,1,1,1.000,0,0,,0,3,3,0,0,2,3,2,5,1.5,-7
