Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2006-11-01,20-252,BOS,,NOK,L (-4),0,22:32,2,6,.333,0,1,.000,2,4,.500,1,3,4,3,0,0,3,4,6,0.9,-9
2,2,2006-11-03,20-254,BOS,,DET,L (-13),0,31:36,3,7,.429,0,0,,1,2,.500,0,5,5,6,0,0,1,3,7,6.4,+2
3,3,2006-11-04,20-255,BOS,@,WAS,L (-7),0,14:24,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,1,3,4,1.1,-14
5,4,2006-11-10,20-261,BOS,,UTA,L (-7),0,24:45,5,10,.500,0,0,,3,5,.600,1,3,4,3,3,0,2,3,13,10.7,+6
6,5,2006-11-11,20-262,BOS,@,CLE,L (-1),0,13:20,0,1,.000,0,0,,1,2,.500,0,1,1,2,0,0,2,1,1,-0.8,-9
7,6,2006-11-13,20-264,BOS,,ORL,L (-3),0,21:25,0,5,.000,0,0,,0,0,,1,1,2,7,2,0,1,1,0,3.0,+3
8,7,2006-11-15,20-266,BOS,,IND,W (+26),0,28:13,2,6,.333,0,0,,1,4,.250,1,4,5,7,3,0,4,3,5,5.0,+22
9,8,2006-11-17,20-268,BOS,,POR,W (+28),0,23:16,1,2,.500,0,0,,6,6,1.000,1,3,4,1,3,1,3,3,8,8.8,+24
10,9,2006-11-18,20-269,BOS,@,NYK,W (+4),0,17:48,1,4,.250,0,3,.000,3,3,1.000,1,5,6,3,0,0,2,0,5,4.9,-20
11,10,2006-11-22,20-273,BOS,@,CHA,L (-9),0,16:26,3,5,.600,0,1,.000,0,2,.000,1,3,4,1,0,0,0,1,6,4.8,0
12,11,2006-11-24,20-275,BOS,,NYK,L (-24),0,14:07,1,4,.250,0,0,,1,2,.500,1,0,1,1,0,0,0,3,3,0.4,-2
13,12,2006-11-25,20-276,BOS,@,MIL,W (+13),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
15,13,2006-12-01,20-282,BOS,@,TOR,L (-4),0,2:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-1
16,14,2006-12-04,20-285,BOS,@,CHI,L (-18),0,17:22,0,3,.000,0,0,,0,2,.000,1,1,2,4,2,0,1,1,0,1.5,0
17,15,2006-12-06,20-287,BOS,,MEM,L (-2),0,16:49,0,1,.000,0,0,,0,0,,1,3,4,5,4,0,1,1,0,7.0,+11
