Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2008-10-30,7477,CHA,A,CLE,L (-17),0,3:11,0,1,.000,0,0,,0,0,,1,1,2,0,2,0,1,0,0,1.3,+4
2,2,2008-11-01,7479,CHA,H,MIA,W (+13),0,1:31,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.1,0
3,3,2008-11-03,7481,CHA,H,DET,L (-18),0,2:18,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1
5,4,2008-11-07,7485,CHA,H,NOH,W (+3),0,3:08,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,3,1,-0.6,+4
6,5,2008-11-09,7487,CHA,H,TOR,L (-10),0,4:58,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+8
7,6,2008-11-11,7489,CHA,H,DEN,L (-8),0,4:24,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-1
8,7,2008-11-14,7492,CHA,H,UTA,W (+8),0,7:49,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,1,2,0,-1.5,-3
10,8,2008-11-18,7496,CHA,H,DAL,L (-17),0,9:02,2,3,.667,0,0,,0,0,,0,1,1,0,1,0,0,2,4,3.2,+4
11,9,2008-11-21,7499,CHA,A,ATL,L (-5),1,15:06,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,3,4,2,-3.3,+7
12,10,2008-11-22,7500,CHA,H,MIL,L (-5),1,12:17,1,5,.200,0,0,,0,0,,1,0,1,0,0,1,1,2,2,-1.5,+8
13,11,2008-11-24,7502,CHA,H,PHI,W (+9),1,8:34,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,2,2,2,-2.2,-4
14,12,2008-11-26,7504,CHA,A,TOR,L (-7),1,9:25,3,6,.500,0,0,,0,0,,1,0,1,0,1,0,0,1,6,4.3,-2
16,13,2008-11-29,7507,CHA,H,BOS,L (-5),0,4:29,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,0.5,-3
20,14,2008-12-06,7514,CHA,H,CLE,L (-20),0,11:46,2,4,.500,0,0,,2,4,.500,0,0,0,0,1,1,1,2,6,3.1,+6
21,15,2008-12-08,7516,CHA,A,MIA,L (-4),0,2:05,1,2,.500,0,0,,2,4,.500,1,0,1,0,0,0,0,0,4,2.9,-3
22,16,2008-12-10,7518,CHA,A,NOH,L (-16),0,19:34,5,9,.556,0,0,,2,2,1.000,2,2,4,1,0,0,0,1,12,10.0,-7
23,17,2008-12-11,7519,CHA,A,DAL,L (-5),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,+5
24,18,2008-12-13,7521,CHA,H,DET,L (-4),0,5:21,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+7
27,19,2008-12-19,7527,CHA,A,MEM,W (+29),0,3:53,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,0,0,6,4.4,+6
33,20,2009-01-02,7541,CHA,A,MIL,L (-28),0,12:00,1,5,.200,0,1,.000,0,0,,0,0,0,0,1,0,0,4,2,-1.7,-9
34,21,2009-01-03,7542,CHA,H,MIL,W (+10),0,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
36,22,2009-01-07,7546,CHA,A,CLE,L (-30),0,7:58,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,0,1,3,2,-0.7,-7
43,23,2009-01-23,7562,CHA,H,PHO,W (+22),0,8:42,1,3,.333,0,0,,2,2,1.000,0,2,2,1,0,0,0,1,4,3.2,-12
46,24,2009-01-28,7567,CHA,A,POR,L (-14),0,2:55,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,+3
47,25,2009-01-30,7569,CHA,A,DEN,L (-11),0,3:19,1,2,.500,0,0,,2,4,.500,1,0,1,1,1,0,0,0,4,4.6,+3
48,26,2009-02-02,7572,CHA,A,UTA,L (-19),0,0:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
50,27,2009-02-08,7578,CHA,A,MIA,L (-4),0,5:27,1,3,.333,0,0,,2,2,1.000,1,2,3,0,0,0,0,1,4,3.2,+3
51,28,2009-02-09,7579,CHA,H,LAC,W (+21),0,1:59,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+1
52,29,2009-02-11,7581,CHA,H,WAS,W (+12),0,0:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
58,30,2009-02-25,7595,CHA,A,SAC,W (+7),0,0:58,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
61,31,2009-03-03,7601,CHA,H,CHI,W (+16),0,3:06,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,0.5,-1
1,1,2009-10-28,7840,CHA,A,BOS,L (-33),0,9:24,2,3,.667,0,0,,0,0,,0,0,0,0,0,1,0,3,4,2.2,-9
3,2,2009-10-31,7843,CHA,A,CLE,L (-11),0,1:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+4
6,3,2009-11-07,7850,CHA,A,CHI,L (-3),0,5:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+7
8,4,2009-11-11,7854,CHA,A,DET,L (-23),0,7:41,2,4,.500,0,0,,0,1,.000,1,0,1,0,1,0,1,1,4,1.9,+8
12,5,2009-11-20,7863,CHA,A,MIL,L (-7),0,2:40,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1.1,0
13,6,2009-11-22,7865,CHA,H,IND,W (+16),0,3:18,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
15,1,2010-11-26,8234,DAL,A,SAS,W (+9),0,2:35,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-4
21,2,2010-12-07,8245,DAL,H,GSW,W (+5),0,9:11,1,4,.250,0,0,,1,2,.500,3,3,6,0,1,2,0,0,3,5.6,+1
29,3,2010-12-27,8265,DAL,A,OKC,W (+10),0,6:58,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2
31,4,2010-12-30,8268,DAL,H,SAS,L (-6),0,11:28,3,7,.429,0,2,.000,1,1,1.000,0,2,2,0,0,1,0,2,7,3.8,-15
32,5,2011-01-01,8270,DAL,A,MIL,L (-12),0,6:44,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-9
36,6,2011-01-08,8277,DAL,H,ORL,L (-10),0,2:52,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,1,5,6.0,+7
37,7,2011-01-12,8281,DAL,A,IND,L (-13),1,14:08,2,7,.286,0,1,.000,0,0,,1,2,3,1,0,1,0,3,4,1.4,0
38,8,2011-01-14,8283,DAL,A,SAS,L (-12),1,11:33,1,4,.250,0,0,,0,0,,0,0,0,0,1,1,1,2,2,-0.5,+2
39,9,2011-01-15,8284,DAL,A,MEM,L (-19),0,3:28,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,+4
40,10,2011-01-17,8286,DAL,A,DET,L (-14),0,6:18,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,0,2,2,0.1,+5
45,11,2011-01-26,8295,TOR,H,PHI,L (-13),0,5:58,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,2,2,1.5,-1
46,12,2011-01-28,8297,TOR,H,MIL,L (-6),0,12:52,4,5,.800,0,0,,2,2,1.000,1,1,2,0,0,1,2,2,10,7.0,+2
47,13,2011-01-29,8298,TOR,A,MIN,L (-16),0,10:30,2,6,.333,0,1,.000,0,0,,0,1,1,0,1,1,0,4,4,1.0,-9
49,14,2011-02-02,8302,TOR,A,ATL,L (-13),0,4:11,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,2.7,+5
50,15,2011-02-04,8304,TOR,H,MIN,W (+11),0,2:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
52,16,2011-02-09,8309,TOR,H,SAS,L (-11),0,0:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
55,17,2011-02-16,8316,TOR,H,MIA,L (-8),0,10:32,3,5,.600,0,0,,0,0,,1,1,2,0,0,1,0,2,6,4.6,+6
56,18,2011-02-22,8322,TOR,A,CHA,L (-13),0,13:44,4,6,.667,1,2,.500,1,2,.500,0,2,2,0,0,0,1,4,10,5.0,-2
57,19,2011-02-23,8323,TOR,H,CHI,W (+5),0,7:50,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,2,4,2.5,-3
58,20,2011-02-25,8325,TOR,H,PHO,L (-18),0,13:18,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-2.6,+3
59,21,2011-02-27,8327,TOR,H,DAL,L (-18),0,12:07,2,4,.500,0,0,,1,2,.500,3,1,4,2,0,1,0,4,5,5.5,-15
61,22,2011-03-04,8332,TOR,A,NJN,L (-13),0,5:52,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,0,1,4,3.6,+9
62,23,2011-03-05,8333,TOR,A,NJN,L (-1),0,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
66,24,2011-03-16,8344,TOR,A,DET,L (-14),0,5:00,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-4
69,25,2011-03-21,8349,TOR,A,DEN,L (-33),0,15:39,4,7,.571,3,5,.600,0,0,,1,8,9,0,1,2,3,3,11,9.0,+5
71,26,2011-03-25,8353,TOR,A,GSW,L (-38),0,24:23,3,7,.429,1,3,.333,0,0,,0,8,8,3,1,2,2,5,7,6.2,-3
72,27,2011-03-26,8354,TOR,A,LAC,L (-4),0,10:42,1,5,.200,0,1,.000,0,0,,1,3,4,0,1,1,0,2,2,1.4,+10
74,28,2011-04-02,8361,TOR,A,CHI,L (-7),0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-0.3,0
76,29,2011-04-05,8364,TOR,A,NYK,L (-13),0,12:00,3,4,.750,0,0,,2,2,1.000,0,2,2,0,0,0,1,2,8,5.2,+4
77,30,2011-04-06,8365,TOR,H,CLE,L (-8),0,22:55,4,10,.400,1,2,.500,0,1,.000,2,5,7,0,0,2,1,5,9,4.5,+2
78,31,2011-04-08,8367,TOR,A,PHI,L (-5),0,15:47,2,5,.400,1,3,.333,0,0,,0,3,3,0,0,1,2,5,5,-0.1,-1
79,32,2011-04-10,8369,TOR,H,NJN,W (+7),0,19:10,4,7,.571,0,2,.000,0,0,,1,3,4,1,1,0,1,4,8,5.4,+14
80,33,2011-04-11,8370,TOR,A,MIL,L (-7),0,16:35,3,9,.333,1,2,.500,0,0,,2,4,6,1,2,0,2,5,7,3.2,+3
81,34,2011-04-13,8372,TOR,H,MIA,L (-18),0,15:29,1,3,.333,1,3,.333,5,6,.833,0,0,0,0,0,1,1,5,8,3.6,-10
1,1,2013-12-21,9354,NOP,A,POR,L (-3),0,16:42,2,4,.500,0,0,,0,0,,5,6,11,1,0,1,3,5,4,3.7,+2
2,2,2013-12-23,9356,NOP,A,SAC,W (+13),0,14:13,3,4,.750,0,0,,0,0,,1,3,4,1,1,0,2,6,6,3.3,0
3,3,2013-12-27,9360,NOP,H,DEN,W (+16),0,20:10,2,3,.667,0,0,,0,0,,2,6,8,2,0,1,2,2,4,5.2,+9
4,4,2013-12-28,9361,NOP,A,HOU,L (-9),0,5:01,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,-3
5,5,2013-12-30,9363,NOP,H,POR,W (+2),0,1:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-3
6,6,2014-01-01,9365,NOP,A,MIN,L (-12),0,11:41,1,3,.333,0,0,,0,0,,1,1,2,0,1,1,2,3,2,-0.2,+1
7,7,2014-01-03,9367,NOP,A,BOS,W (+3),1,12:04,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,4,0,-1.6,-5
8,8,2014-01-04,9368,NOP,A,IND,L (-17),1,31:30,5,7,.714,0,0,,7,10,.700,3,4,7,1,1,1,2,2,17,15.8,+3
9,9,2014-01-07,9371,NOP,A,MIA,L (-19),1,14:10,1,2,.500,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,4,3.2,-5
10,10,2014-01-08,9372,NOP,H,WAS,L (-6),1,14:42,3,5,.600,0,0,,0,0,,1,5,6,2,0,1,0,2,6,7.2,+8
11,11,2014-01-10,9374,NOP,H,DAL,L (-17),1,5:01,0,0,,0,0,,0,0,,1,1,2,0,0,0,2,0,0,-1.0,-6
12,12,2014-01-11,9375,NOP,A,DAL,L (-3),0,11:50,1,1,1.000,0,0,,0,0,,2,3,5,2,0,0,0,4,2,3.8,+2
13,13,2014-01-13,9377,NOP,H,SAS,L (-6),0,19:58,3,6,.500,0,0,,1,2,.500,0,4,4,0,0,2,0,0,7,6.2,-12
14,14,2014-01-15,9379,NOP,H,HOU,L (-3),0,12:19,1,1,1.000,0,0,,0,0,,1,3,4,0,0,2,0,5,2,2.7,+15
15,15,2014-01-18,9382,NOP,H,GSW,L (-10),0,11:36,0,1,.000,0,0,,2,2,1.000,2,2,4,0,0,1,0,2,2,3.2,-4
16,16,2014-01-20,9384,NOP,A,MEM,W (+3),0,22:00,5,8,.625,0,0,,0,0,,1,5,6,0,1,0,0,2,10,8.8,+5
17,17,2014-01-21,9385,NOP,H,SAC,L (-17),0,15:58,2,3,.667,0,0,,0,0,,1,3,4,1,1,1,2,4,4,3.1,-8
18,18,2014-01-24,9388,NOP,A,DET,W (+2),1,15:28,3,5,.600,0,0,,0,0,,0,4,4,0,1,3,3,3,6,3.8,-14
19,19,2014-01-26,9390,NOP,H,ORL,W (+8),1,7:52,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,4,0,-3.6,-1
20,20,2014-01-28,9392,NOP,A,CLE,W (+11),1,17:27,0,2,.000,0,0,,0,0,,1,4,5,1,0,0,3,2,0,-2.6,+6
21,21,2014-01-29,9393,NOP,A,MIN,L (-11),1,16:17,2,5,.400,0,0,,0,0,,2,3,5,0,0,0,3,2,4,-0.2,0
22,22,2014-02-01,9396,NOP,H,CHI,W (+9),1,18:06,4,4,1.000,0,0,,0,0,,3,0,3,0,0,3,3,5,8,6.0,+14
23,23,2014-02-03,9398,NOP,H,SAS,L (-7),1,27:09,4,6,.667,0,0,,0,0,,3,7,10,1,1,2,2,2,8,9.9,-6
24,24,2014-02-05,9400,NOP,H,ATL,W (+5),1,14:48,2,3,.667,0,0,,0,0,,1,3,4,0,0,1,0,3,4,3.8,-2
25,25,2014-02-07,9402,NOP,H,MIN,W (+7),1,13:03,2,2,1.000,0,0,,0,0,,1,5,6,0,0,1,2,4,4,2.7,+4
26,26,2014-02-09,9404,NOP,A,BRK,L (-12),1,11:11,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,2,4,0,-2.7,-5
27,27,2014-02-10,9405,NOP,A,TOR,L (-7),1,9:17,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-0.4,-16
28,28,2014-02-12,9407,NOP,A,MIL,W (+4),1,21:47,7,7,1.000,0,0,,2,2,1.000,1,8,9,3,0,1,3,2,16,16.0,+10
29,29,2014-02-19,9414,NOP,H,NYK,L (-7),1,12:25,1,3,.333,0,0,,0,1,.000,1,0,1,1,0,0,2,2,2,-1.5,-3
30,30,2014-02-21,9416,NOP,A,CHA,L (-3),1,13:56,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,2,3,2,-0.3,+3
31,31,2014-02-22,9417,NOP,A,WAS,L (-1),0,26:35,3,9,.333,0,0,,3,3,1.000,2,7,9,0,0,1,1,4,9,5.5,+3
32,32,2014-02-24,9419,NOP,H,LAC,L (-13),0,26:39,7,13,.538,0,0,,5,6,.833,6,6,12,1,0,1,0,5,19,17.7,+6
33,33,2014-02-26,9421,NOP,A,DAL,L (-19),0,25:41,6,10,.600,0,0,,2,2,1.000,4,4,8,3,0,1,1,3,14,14.0,-17
34,34,2014-02-28,9423,NOP,A,PHO,L (-12),1,14:22,2,2,1.000,0,0,,0,0,,1,1,2,0,0,2,1,4,4,3.2,0
35,35,2014-03-01,9424,NOP,A,LAC,L (-32),1,28:38,4,6,.667,0,0,,3,4,.750,4,6,10,1,1,2,1,6,11,12.3,-40
36,36,2014-03-03,9426,NOP,A,SAC,L (-7),1,20:16,2,4,.500,0,0,,0,0,,3,2,5,1,1,0,0,5,4,4.4,-5
37,37,2014-03-04,9427,NOP,A,LAL,W (+7),1,15:49,1,3,.333,0,0,,2,2,1.000,1,6,7,2,0,0,0,5,4,4.2,+9
38,38,2014-03-07,9430,NOP,H,MIL,W (+8),1,12:33,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,1,4,0,-2.0,+1
39,39,2014-03-09,9432,NOP,H,DEN,W (+4),1,11:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,2,3,0,-2.6,-11
40,40,2014-03-12,9435,NOP,H,MEM,L (-2),1,18:08,1,5,.200,0,0,,0,0,,2,2,4,0,2,2,0,3,2,3.1,+6
41,41,2014-03-14,9437,NOP,H,POR,L (-8),1,9:34,0,2,.000,0,0,,0,0,,0,2,2,0,1,0,0,1,0,-0.2,-7
43,42,2014-03-19,9442,NOP,H,TOR,L (-7),0,21:25,3,4,.750,0,0,,4,4,1.000,2,5,7,2,2,1,0,3,10,14.2,+11
44,43,2014-03-21,9444,NOP,A,ATL,W (+6),0,13:15,3,5,.600,0,0,,1,2,.500,1,4,5,0,0,2,0,4,7,6.0,-3
