Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-10-17,20-158,ORL,,MIA,W (+3),0,24:58,6,8,.750,1,2,.500,0,2,.000,4,3,7,0,0,2,0,1,13,13.7,+13
2,2,2018-10-19,20-160,ORL,,CHO,L (-32),0,18:37,0,4,.000,0,2,.000,0,0,,0,5,5,2,0,1,1,0,0,-0.2,-20
3,3,2018-10-20,20-161,ORL,@,PHI,L (-1),0,14:10,2,4,.500,1,2,.500,0,0,,1,0,1,2,0,3,1,2,5,5.4,-25
4,4,2018-10-22,20-163,ORL,@,BOS,W (+3),0,19:14,0,3,.000,0,2,.000,0,0,,0,5,5,1,1,2,0,1,0,2.1,0
5,5,2018-10-25,20-166,ORL,,POR,L (-14),0,20:05,4,5,.800,0,1,.000,0,0,,2,5,7,2,0,1,1,1,8,9.7,-9
6,6,2018-10-27,20-168,ORL,@,MIL,L (-22),0,22:52,2,5,.400,2,3,.667,1,2,.500,1,5,6,0,0,0,0,1,7,5.7,-17
7,7,2018-10-30,20-171,ORL,,SAC,L (-8),0,24:26,3,4,.750,1,1,1.000,0,1,.000,0,7,7,1,1,5,2,3,7,9.1,-1
8,8,2018-11-02,20-174,ORL,,LAC,L (-25),0,19:58,3,6,.500,0,3,.000,1,2,.500,2,3,5,3,0,0,0,0,7,8.0,-20
9,9,2018-11-04,20-176,ORL,@,SAS,W (+7),0,15:32,6,11,.545,0,1,.000,0,0,,5,6,11,1,0,1,0,4,12,11.8,0
10,10,2018-11-05,20-177,ORL,,CLE,W (+2),0,21:03,3,7,.429,0,2,.000,0,0,,2,4,6,1,1,1,0,2,6,6.5,+7
11,11,2018-11-07,20-179,ORL,,DET,L (-7),0,13:34,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,2,3,2,2,-0.8,-16
12,12,2018-11-09,20-181,ORL,,WAS,W (+9),0,17:22,7,8,.875,1,1,1.000,0,0,,2,0,2,3,0,2,1,5,15,14.1,-3
13,13,2018-11-11,20-183,ORL,@,NYK,W (+26),0,17:39,5,11,.455,1,3,.333,4,5,.800,0,8,8,0,0,2,0,4,15,11.1,+12
14,14,2018-11-12,20-184,ORL,@,WAS,L (-8),0,11:07,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,0,5,0,-1.3,-7
15,15,2018-11-14,20-186,ORL,,PHI,W (+5),0,8:41,2,6,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,2,4,1.4,-16
16,16,2018-11-17,20-189,ORL,,LAL,W (+13),0,14:54,3,6,.500,0,3,.000,2,2,1.000,0,1,1,1,0,1,1,3,8,4.5,+3
17,17,2018-11-18,20-190,ORL,,NYK,W (+14),0,16:23,2,6,.333,0,2,.000,0,0,,1,1,2,2,0,1,1,3,4,1.5,0
18,18,2018-11-20,20-192,ORL,,TOR,L (-2),0,14:25,2,3,.667,1,2,.500,2,2,1.000,3,2,5,1,1,0,1,0,7,9.1,-10
19,19,2018-11-23,20-195,ORL,@,DEN,L (-25),0,14:46,3,7,.429,1,2,.500,0,0,,0,2,2,2,0,0,1,3,7,3.1,-18
20,20,2018-11-25,20-197,ORL,@,LAL,W (+4),0,11:59,2,4,.500,1,1,1.000,0,0,,1,3,4,0,2,1,0,2,5,6.5,-12
21,21,2018-11-26,20-198,ORL,@,GSW,L (-6),0,15:25,4,6,.667,2,2,1.000,1,1,1.000,2,4,6,1,0,1,0,1,11,12.0,+2
22,22,2018-11-28,20-200,ORL,@,POR,L (-3),0,19:06,3,6,.500,1,2,.500,1,1,1.000,1,2,3,0,0,2,0,2,8,6.9,+2
23,23,2018-11-30,20-202,ORL,@,PHO,W (+14),0,16:06,1,5,.200,0,1,.000,0,0,,3,2,5,1,1,2,1,2,2,2.9,-1
24,24,2018-12-04,20-206,ORL,@,MIA,W (+15),0,14:58,2,4,.500,0,0,,0,2,.000,2,0,2,0,0,1,3,2,4,-0.5,-16
25,25,2018-12-05,20-207,ORL,,DEN,L (-6),0,15:59,4,6,.667,3,3,1.000,0,0,,1,5,6,2,1,1,1,4,11,11.1,+3
26,26,2018-12-07,20-209,ORL,,IND,L (-22),0,18:14,2,9,.222,0,4,.000,0,0,,1,6,7,1,0,1,0,1,4,2.0,-17
