Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,1,2015-11-01,23-189,TOR,,MIL,W (+19),0,2:22,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-2
7,2,2015-11-08,23-196,TOR,@,MIA,L (-20),0,2:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
9,3,2015-11-11,23-199,TOR,@,PHI,W (+16),0,2:36,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-0.4,-1
10,4,2015-11-13,23-201,TOR,,NOP,W (+19),0,2:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-2
30,5,2015-12-22,23-240,TOR,,DAL,W (+4),0,6:39,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+5
36,6,2016-01-04,23-253,TOR,@,CLE,L (-22),0,2:56,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-4
37,7,2016-01-06,23-255,TOR,@,BRK,W (+17),0,2:19,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+1
39,8,2016-01-09,23-258,TOR,@,PHI,W (+13),0,1:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
43,9,2016-01-22,23-271,TOR,,MIA,W (+20),0,1:36,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
44,10,2016-01-24,23-273,TOR,,LAC,W (+18),0,3:54,0,0,,0,0,,1,4,.250,0,0,0,0,0,0,2,1,1,-2.6,-2
45,11,2016-01-26,23-275,TOR,,WAS,W (+17),0,1:57,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,0
48,12,2016-02-01,23-281,TOR,@,DEN,L (-19),0,5:31,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,1,0,0,0,6,6.4,+4
51,13,2016-02-08,23-288,TOR,@,DET,W (+14),0,1:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-7
52,14,2016-02-10,23-290,TOR,@,MIN,L (-5),0,3:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
55,15,2016-02-22,23-302,TOR,@,NYK,W (+27),0,3:21,1,2,.500,0,0,,0,0,,1,0,1,1,1,0,0,0,2,3.4,+3
56,16,2016-02-24,23-304,TOR,,MIN,W (+9),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
58,17,2016-02-28,23-308,TOR,@,DET,L (-13),0,30:46,3,8,.375,2,4,.500,5,6,.833,0,3,3,6,1,0,1,2,13,12.5,-1
66,18,2016-03-15,23-324,TOR,@,MIL,W (+18),0,2:48,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,2,0.6,+2
68,19,2016-03-18,23-327,TOR,,BOS,W (+14),0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
69,20,2016-03-20,23-329,TOR,,ORL,W (+5),0,15:52,3,5,.600,0,0,,0,2,.000,0,1,1,2,1,0,0,0,6,5.6,+5
70,21,2016-03-23,23-332,TOR,@,BOS,L (-12),0,20:25,3,10,.300,0,1,.000,0,0,,1,7,8,0,0,0,2,0,6,1.0,+4
72,22,2016-03-26,23-335,TOR,@,NOP,W (+24),0,3:17,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-0.3,+2
73,23,2016-03-28,23-337,TOR,,OKC,L (-19),0,3:15,1,1,1.000,0,0,,2,3,.667,0,0,0,0,0,0,0,0,4,3.3,+4
76,24,2016-04-02,23-342,TOR,@,SAS,L (-7),0,22:03,5,8,.625,0,0,,2,2,1.000,1,3,4,3,3,0,2,1,12,12.7,-7
79,25,2016-04-08,23-348,TOR,,IND,W (+13),0,25:56,6,10,.600,1,2,.500,6,8,.750,1,3,4,2,0,0,3,0,19,13.6,-2
81,26,2016-04-12,23-352,TOR,,PHI,W (+24),0,21:44,3,7,.429,0,0,,2,2,1.000,0,2,2,5,1,1,2,0,8,8.1,+12
82,27,2016-04-13,23-353,TOR,@,BRK,W (+7),1,37:07,7,14,.500,0,3,.000,4,4,1.000,2,3,5,7,0,2,1,1,18,18.2,+8
56,1,2017-02-14,24-294,TOR,@,CHI,L (-11),0,9:38,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,1.6,+6
57,2,2017-02-15,24-295,TOR,,CHO,W (+5),0,27:46,3,5,.600,0,1,.000,5,6,.833,1,0,1,2,2,1,0,1,11,12.7,+11
58,3,2017-02-24,24-304,TOR,,BOS,W (+10),0,11:37,1,5,.200,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-0.1,-11
59,4,2017-02-26,24-306,TOR,,POR,W (+6),0,14:54,5,9,.556,1,3,.333,0,0,,0,2,2,1,0,0,0,4,11,6.4,+5
60,5,2017-02-27,24-307,TOR,@,NYK,W (+1),0,14:30,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,1,5,4.6,+3
61,6,2017-03-01,24-309,TOR,,WAS,L (-9),0,19:58,1,2,.500,0,0,,4,4,1.000,0,1,1,2,2,0,1,2,6,6.9,0
62,7,2017-03-03,24-311,TOR,@,WAS,W (+8),0,21:52,2,2,1.000,1,1,1.000,4,6,.667,0,1,1,1,1,4,2,1,9,10.0,+23
63,8,2017-03-04,24-312,TOR,@,MIL,L (-7),0,10:35,0,3,.000,0,2,.000,1,2,.500,0,0,0,1,0,1,1,0,1,-1.1,-15
64,9,2017-03-08,24-316,TOR,@,NOP,W (+7),0,11:57,1,5,.200,1,2,.500,0,0,,3,2,5,1,1,0,1,3,3,2.1,-2
65,10,2017-03-10,24-318,TOR,@,ATL,L (-6),0,13:25,0,2,.000,0,0,,1,2,.500,0,2,2,1,0,0,0,2,1,-0.3,-5
66,11,2017-03-11,24-319,TOR,@,MIA,L (-15),0,25:11,5,8,.625,0,0,,3,3,1.000,2,1,3,3,3,0,2,2,13,13.4,+2
67,12,2017-03-13,24-321,TOR,,DAL,W (+22),0,20:18,4,8,.500,1,3,.333,2,2,1.000,0,4,4,3,1,1,0,1,11,11.6,+13
68,13,2017-03-16,24-324,TOR,,OKC,L (-21),0,20:11,2,6,.333,0,1,.000,6,7,.857,0,2,2,1,2,0,1,2,10,7.7,+4
69,14,2017-03-17,24-325,TOR,@,DET,W (+12),0,6:07,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-3
70,15,2017-03-19,24-327,TOR,,IND,W (+25),0,24:05,2,6,.333,0,2,.000,0,0,,2,1,3,5,2,0,2,1,4,5.4,+21
