,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-05,22-066,CHI,,NJN,L (-5),0,38:19,2,5,0.4,2,4,0.5,0,0,,0,3,3,8,1,0,1,3,6,8.6,15
1,2,2,2004-11-06,22-067,CHI,@,IND,L (-10),0,28:25,0,7,0.0,0,4,0.0,1,2,0.5,0,1,1,5,1,0,2,1,1,-1.9,-14
2,3,3,2004-11-09,22-070,CHI,,PHO,L (-20),0,28:02,0,4,0.0,0,2,0.0,0,0,,0,2,2,5,2,0,1,5,0,0.3,-15
3,4,4,2004-11-13,22-074,CHI,,LAC,L (-1),0,12:57,2,4,0.5,0,0,,1,1,1.0,0,0,0,5,1,0,1,1,5,6.1,-2
4,5,5,2004-11-16,22-077,CHI,@,SAC,L (-7),0,23:11,3,6,0.5,2,4,0.5,0,0,,0,1,1,6,1,0,0,4,8,8.9,-6
5,6,6,2004-11-17,22-078,CHI,@,GSW,L (-13),0,21:49,3,10,0.3,0,3,0.0,1,2,0.5,0,0,0,2,2,0,2,2,7,1.4,-13
6,7,7,2004-11-19,22-080,CHI,@,DEN,L (-18),0,16:56,0,2,0.0,0,1,0.0,0,0,,0,1,1,3,1,0,1,0,0,1.0,-14
7,8,8,2004-11-21,22-082,CHI,@,LAL,L (-9),0,7:01,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,1.3,2
8,9,9,2004-11-22,22-083,CHI,@,PHO,L (-18),0,19:43,1,5,0.2,1,3,0.333,0,0,,1,1,2,3,1,0,2,0,3,2.0,0
9,10,10,2004-11-24,22-085,CHI,@,UTA,W (+2),1,21:20,3,6,0.5,1,3,0.333,1,1,1.0,0,2,2,2,1,0,1,3,8,5.8,0
10,11,11,2004-11-27,22-088,CHI,@,CLE,L (-22),1,18:00,0,1,0.0,0,0,,1,2,0.5,0,2,2,2,0,0,3,2,1,-1.9,-14
11,12,12,2004-12-01,22-092,CHI,,LAL,W (+8),1,23:29,1,6,0.167,0,2,0.0,0,0,,0,1,1,3,1,0,3,4,2,-3.0,-5
12,13,13,2004-12-03,22-094,CHI,,MIA,L (-24),1,33:02,6,11,0.545,3,4,0.75,0,0,,0,4,4,7,0,0,3,2,15,12.0,-15
13,14,14,2004-12-04,22-095,CHI,@,WAS,L (-7),1,33:58,1,5,0.2,0,3,0.0,0,0,,0,1,1,5,2,0,5,3,2,-1.5,4
14,15,15,2004-12-06,22-097,CHI,,SAS,L (-16),1,30:38,0,6,0.0,0,2,0.0,0,0,,0,1,1,6,3,0,4,3,0,-1.9,-3
15,16,16,2004-12-08,22-099,CHI,,CLE,W (+28),1,25:48,2,2,1.0,2,2,1.0,0,0,,0,2,2,8,1,0,3,3,6,8.4,33
16,17,17,2004-12-10,22-101,CHI,,PHI,L (-5),1,30:12,2,6,0.333,1,3,0.333,0,0,,1,2,3,6,1,0,2,3,5,4.9,-20
17,18,18,2004-12-11,22-102,CHI,,MIN,W (+11),1,16:57,2,5,0.4,1,3,0.333,0,2,0.0,1,1,2,3,0,0,1,2,5,2.8,10
18,19,19,2004-12-13,22-104,CHI,,DAL,L (-1),1,26:30,2,6,0.333,0,2,0.0,0,0,,0,5,5,9,1,0,1,1,4,8.0,12
19,20,20,2004-12-15,22-106,CHI,@,MEM,W (+8),1,10:45,1,2,0.5,1,1,1.0,0,0,,0,1,1,3,1,0,2,0,3,3.4,-8
20,21,21,2004-12-16,22-107,CHI,,MIL,W (+8),1,19:09,2,5,0.4,0,1,0.0,0,0,,1,2,3,6,1,0,1,2,4,6.0,5
21,22,22,2004-12-18,22-109,CHI,,IND,W (+14),1,26:01,2,10,0.2,1,5,0.2,1,2,0.5,1,3,4,6,0,0,1,2,6,3.4,19
22,23,23,2004-12-20,22-111,CHI,,POR,W (+5),1,25:04,1,3,0.333,1,2,0.5,0,0,,0,3,3,8,2,0,0,1,3,9.4,3
23,24,24,2004-12-22,22-113,CHI,@,DET,W (+7),1,25:31,0,4,0.0,0,1,0.0,0,0,,0,2,2,3,2,0,1,4,0,-0.7,-4
