,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,4,1,2010-11-01,21-134,POR,@,CHI,L (-12),0,4:24,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-1
1,7,2,2010-11-06,21-139,POR,,TOR,W (+13),0,10:22,1,2,0.5,1,2,0.5,1,2,0.5,0,2,2,0,0,1,0,2,4,3.1,-2
2,8,3,2010-11-07,21-140,POR,@,LAL,L (-25),0,7:18,0,4,0.0,0,2,0.0,0,2,0.0,0,2,2,0,0,0,0,0,0,-3.0,1
3,9,4,2010-11-09,21-142,POR,,DET,W (+22),0,2:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
4,11,5,2010-11-13,21-146,POR,@,NOH,L (-20),0,1:12,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
5,14,6,2010-11-20,21-153,POR,,UTA,L (-9),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
6,15,7,2010-11-26,21-159,POR,,NOH,L (-19),0,1:16,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
7,16,8,2010-11-28,21-161,POR,@,NJN,L (-2),0,2:35,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
8,28,9,2010-12-18,21-181,POR,,GSW,W (+1),0,11:07,1,5,0.2,0,1,0.0,1,1,1.0,1,1,2,0,1,0,1,1,3,0.5,3
9,29,10,2010-12-20,21-183,POR,,MIL,W (+26),0,17:45,3,6,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,0,1,6,4.3,12
10,32,11,2010-12-28,21-191,POR,@,DEN,L (-18),0,6:50,1,3,0.333,0,0,,0,0,,0,3,3,0,0,0,2,0,2,-0.8,3
11,33,12,2010-12-30,21-193,POR,,UTA,W (+11),0,1:10,0,1,0.0,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,-1.5,-4
12,34,13,2011-01-02,21-196,POR,,HOU,W (+15),0,1:19,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,-1
13,47,14,2011-01-27,21-221,POR,,BOS,L (-10),0,8:37,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4
14,49,15,2011-02-02,21-227,POR,@,DEN,L (-19),0,2:36,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,1.0,-1
15,50,16,2011-02-04,21-229,POR,@,IND,L (-13),0,6:41,0,2,0.0,0,1,0.0,0,0,,0,4,4,0,1,0,1,3,0,-1.4,2
16,51,17,2011-02-05,21-230,POR,@,CLE,W (+6),0,2:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
17,52,18,2011-02-07,21-232,POR,,CHI,W (+6),0,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
18,55,19,2011-02-14,21-239,POR,@,MIN,W (+14),0,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
19,58,20,2011-02-25,21-250,POR,,DEN,W (+1),0,7:37,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,0,4,0,-2.0,-4
20,60,21,2011-03-01,21-254,POR,,HOU,L (-16),0,0:38,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,2
21,77,22,2011-04-03,21-287,POR,,DAL,W (+8),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
22,78,23,2011-04-05,21-289,POR,,GSW,L (-21),0,3:34,1,3,0.333,0,0,,0,0,,0,1,1,1,0,1,0,0,2,2.0,0
23,82,24,2011-04-13,21-297,POR,@,GSW,L (-24),0,33:20,4,17,0.235,2,5,0.4,1,2,0.5,3,8,11,3,0,0,3,2,11,3.1,-6
24,2,1,2011-12-27,22-190,POR,,SAC,W (+22),0,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
