Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,20-049,PHI,,WAS,W (+6),0,10:51,3,6,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,1,0,6,4.0,3.0
2,2,2020-12-26,20-052,PHI,@,NYK,W (+20),0,8:49,1,4,0.25,0,0,,0,0,,1,1,2,3,0,0,1,0,2,1.7,2.0
3,3,2020-12-27,20-053,PHI,@,CLE,L (-24),0,21:40,3,8,0.375,0,2,0.0,0,0,,0,0,0,1,1,0,1,1,6,1.9,-14.0
4,4,2020-12-29,20-055,PHI,,TOR,W (+7),0,8:01,0,3,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,0,0,-1.4,7.0
5,5,2020-12-31,20-057,PHI,@,ORL,W (+24),0,21:00,5,9,0.556,0,0,,0,0,,0,2,2,0,1,0,1,2,10,5.5,-1.0
6,6,2021-01-02,20-059,PHI,,CHO,W (+15),0,17:55,4,8,0.5,1,2,0.5,0,0,,0,2,2,2,1,0,1,1,9,6.6,2.0
7,7,2021-01-04,20-061,PHI,,CHO,W (+17),0,21:13,4,10,0.4,2,3,0.667,1,1,1.0,0,2,2,2,1,0,0,2,11,7.8,-3.0
8,8,2021-01-06,20-063,PHI,,WAS,W (+5),0,10:59,1,1,1.0,0,0,,0,0,,0,2,2,1,0,0,0,1,2,2.6,-9.0
9,9,2021-01-07,20-064,PHI,@,BRK,L (-13),0,20:55,7,12,0.583,2,4,0.5,0,0,,0,3,3,2,1,1,0,0,16,14.4,7.0
10,10,2021-01-09,20-066,PHI,,DEN,L (-12),1,43:45,18,33,0.545,3,8,0.375,0,0,,1,6,7,6,2,0,2,3,39,28.6,-17.0
11,11,2021-01-11,20-068,PHI,@,ATL,L (-18),1,30:56,7,14,0.5,0,1,0.0,1,1,1.0,0,6,6,4,0,2,2,1,15,11.6,-24.0
12,12,2021-01-12,20-069,PHI,,MIA,W (+3),1,36:14,7,18,0.389,1,6,0.167,1,3,0.333,1,2,3,8,1,0,1,6,16,9.9,-14.0
13,13,2021-01-14,20-071,PHI,,MIA,W (+17),1,25:40,6,10,0.6,1,3,0.333,2,2,1.0,1,0,1,1,1,0,2,2,15,10.0,-2.0
14,14,2021-01-16,20-073,PHI,@,MEM,L (-2),1,24:36,5,13,0.385,0,4,0.0,2,2,1.0,2,1,3,0,0,0,0,1,12,6.2,2.0
15,15,2021-01-20,20-077,PHI,,BOS,W (+8),1,20:34,0,4,0.0,0,1,0.0,0,0,,0,2,2,2,0,0,0,2,0,-1.6,2.0
16,16,2021-01-22,20-079,PHI,,BOS,W (+12),0,6:12,1,1,1.0,0,0,,0,0,,0,3,3,0,0,0,0,0,2,2.6,1.0
17,17,2021-01-23,20-080,PHI,@,DET,W (+4),0,12:34,1,4,0.25,0,1,0.0,0,0,,0,2,2,0,2,0,0,0,2,2.2,-9.0
18,18,2021-01-25,20-082,PHI,@,DET,L (-15),0,20:58,6,12,0.5,2,3,0.667,3,3,1.0,0,2,2,2,3,0,1,2,17,14.2,-7.0
19,19,2021-01-27,20-084,PHI,,LAL,W (+1),0,5:55,2,5,0.4,0,0,,0,0,,0,0,0,0,0,0,0,0,4,1.3,-4.0
20,20,2021-01-29,20-086,PHI,@,MIN,W (+24),0,9:42,3,5,0.6,0,0,,2,2,1.0,0,0,0,0,0,0,1,2,8,3.9,-5.0
21,21,2021-01-31,20-088,PHI,@,IND,W (+9),0,18:14,3,8,0.375,1,3,0.333,2,2,1.0,0,1,1,3,0,0,0,0,9,7.0,4.0
22,22,2021-02-03,20-091,PHI,@,CHO,W (+7),0,4:35,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.2,-5.0
23,23,2021-02-04,20-092,PHI,,POR,L (-16),0,20:49,5,8,0.625,2,4,0.5,3,4,0.75,0,2,2,4,1,0,2,3,15,12.2,-3.0
24,24,2021-02-06,20-094,PHI,,BRK,W (+16),0,2:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,6.0
26,25,2021-02-11,20-099,PHI,@,POR,L (-4),0,12:35,2,8,0.25,0,3,0.0,1,1,1.0,0,1,1,0,0,0,0,1,5,0.1,-13.0
27,26,2021-02-13,20-101,PHI,@,PHO,L (-9),0,9:59,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,3,0,0,1,0,6,3.7,-1.0
28,27,2021-02-15,20-103,PHI,@,UTA,L (-11),0,12:46,3,8,0.375,0,2,0.0,0,0,,0,0,0,0,0,0,0,1,6,1.2,-9.0
29,28,2021-02-17,20-105,PHI,,HOU,W (+5),0,11:42,4,7,0.571,0,0,,2,2,1.0,0,2,2,0,0,0,1,0,10,6.3,5.0
30,29,2021-02-19,20-107,PHI,,CHI,W (+7),0,17:00,3,11,0.273,0,0,,0,0,,2,1,3,3,0,0,3,2,6,-0.5,-11.0
